Prey,Primary_Component
EFTUD2,9
EIF2A,1
EIF2AK2,6
EIF2AK3,2
EIF2B1,12
EIF3A,1
EIF3B,1
EIF3C,1
EIF3E,1
EIF3F,1
EIF3G,1
EIF3H,1
EIF3I,1
EIF3K,1
EIF3L,1
EIF3M,1
EIF4A1,1
EIF4A2,1
EIF4A3,1
EIF4B,1
EIF4E,1
EIF4E2,7
EIF4ENIF1,1
EIF4G1,1
EIF4G2,1
EIF4G3,12
EIF6,6
ELAC2,3
ELAVL1,12
ELAVL2,4
ELL,9
ELMSAN1,5
ELOVL2,2
EMC1,2
EMC10,2
EMC2,2
EMC3,2
EMC4,2
EMC6,2
EMC7,2
EMC8,2
EMC9,2
EMD,2
EMG1,6
EP300,5
EP400,13
EPN2,14
EPS15,1
ERAL1,3
ERCC5,5
ERH,1
ESF1,11
ESRP2,12
ESYT1,2
ESYT2,2
ETFA,3
ETFB,3
EWSR1,4
EXOSC1,11
EXOSC2,11
EXOSC3,11
EXOSC4,11
EXOSC5,11
EXOSC6,11
EXOSC7,11
EXOSC8,11
EXOSC9,11
EXPH5,8
FAAP20,8
FADS2,12
FAF2,2
FAM111B,1
FAM120A,12
FAM120B,10
FAM120C,12
FAM134B,2
FAM135A,7
FAM160A1,1
FAM160A2,7
FAM160B1,7
FAM175B,7
FAM184A,7
FAM193A,7
FAM193B,1
FAM207A,5
FAM208A,13
FAM83B,8
FAM83H,8
FAM98A,1
FAM98B,8
FAM98C,8
FANCI,5
FARP1,12
FARSA,8
FASTKD2,3
FASTKD5,3
FBF1,7
FBRS,5
FBRSL1,8
FBXO38,9
FBXO42,1
FBXW11,8
FDFT1,2
FHL2,10
FIBP,8
FIP1L1,5
FKBP3,6
FKBP4,10
FKBP5,13
FKBP8,2
FLII,8
FMR1,1
FNBP4,9
FNDC3A,2
FNDC3B,12
FOXK1,5
FOXM1,8
FOXO1,8
FRAS1,2
FTSJ3,11
FUBP1,4
FUBP3,12
FUS,4
FXR1,1
FXR2,1
G3BP1,1
G3BP2,1
GAK,14
GBAS,9
GCFC2,5
GEMIN2,9
GEMIN4,9
GEMIN5,14
GEMIN6,9
GEMIN7,14
GEMIN8,9
GGA1,14
GGA2,14
GGA3,14
GIGYF1,7
GIGYF2,7
GIT1,8
GKAP1,1
GLE1,1
GLMN,10
GLS,3
GLTSCR1,13
GLTSCR2,11
GLUD1,3
GNL2,11
GOLGA2,14
GOLGA3,2
GOLGA4,7
GOPC,1
GORASP2,2
GOSR2,2
GPAT3,2
GPAT4,2
GPATCH4,6
GPATCH8,5
GPBP1,7
GPBP1L1,7
GPR89A,2
GPS2,13
GRAMD1A,2
GRAMD1B,2
GRIP1,8
GRSF1,6
GSE1,5
GSPT1,1
GSPT2,1
GTPBP1,1
GTPBP10,3
GTPBP4,6
H1F0,3
H1FX,3
H2AFY,6
HABP4,1
HADH,3
HADHA,3
HARS2,3
HAUS1,10
HAUS2,10
HAUS3,10
HAUS4,10
HAUS6,10
HAUS7,10
HCFC2,7
HDAC3,13
HDLBP,1
HEATR1,6
HECA,1
HELZ,12
HERC1,1
HGS,14
HINT2,3
HIP1,14
HIST1H1D,1
HIST1H1E,3
HIST1H2AC,4
HIST1H3A,11
HIVEP1,5
HLA-C,2
HLTF,11
HMG20A,5
HMOX2,2
HNRNPA1,4
HNRNPA2B1,4
HNRNPA3,4
HNRNPAB,4
HNRNPC,4
HNRNPD,4
HNRNPDL,4
HNRNPF,4
HNRNPH3,4
HNRNPK,4
HNRNPL,4
HNRNPM,4
HNRNPR,4
HNRNPU,4
HNRNPUL1,4
HNRNPUL2,4
HOMEZ,1
HOOK1,1
HOOK3,1
HOXD13,5
HSD17B10,3
HSPA4,8
HSPBP1,8
HSPD1,3
HSPH1,9
IARS2,3
IBTK,1
ICE1,13
ICE2,13
ICMT,12
IFT57,9
IFT74,7
IFT81,7
IGF2BP1,12
IGF2BP2,12
IGF2BP3,12
IGF2R,2
IK,9
IKBIP,2
ILF2,11
ILF3,4
IMP3,6
IMP4,6
INF2,2
INPPL1,8
INTS1,13
INTS10,13
INTS12,13
INTS4,13
INTS9,9
IPO11,1
IPO4,1
IPO7,5
IPO8,5
IQCC,7
IRF2BP2,5
IRS2,8
ISY1,9
ITGA5,2
ITGA6,2
ITGAV,2
ITGB1,2
