,NMF ARI,Mean NMF Cosine similarity,Mean NMF KL divergence,Mean NMF GO Jaccard index,Min NMF purity score,Min NMF Cosine similarity,Max NMF KL divergence,Min NMF GO Jaccard index,Remaining preys percentage,GO terms retrieval percentage,Mean GMM  Pearson correlation,GMM ARI,Leiden ARI,Overall Score
GENBAIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8016974711932567,0.8348333414196307,0.9944811101707154,0.9368669640911621,0.9899566955985127,1.0
Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi-Squared,0.7497005455699175,0.9287383390607777,0.9538292650852828,0.8299741248107196,0.45360012933882415,0.11314503073233702,0.3229100543450014,0.2507416685141564,0.8942811847498265,0.91260734559216,0.9803475004957721,0.8485128311493179,0.9816303280415454,0.7342044165918077
ANOVA F,0.7850332283578936,0.9521683464332553,0.9640404111252576,0.8210197153328338,0.38818206063076466,0.158203936596391,0.3384986165052695,0.31113551283637014,0.8243793983450622,0.8531488040366797,0.9881906950575423,0.9483423973290136,1.0,0.7431490133229088
Mutual Info,0.8328535262309424,0.9266414888465314,0.922845242015022,0.8282372894982035,0.5189883618437149,0.6161423871766337,0.6750993835574866,0.6516396508484651,0.7472662593766923,0.8063776624132745,0.9572374530919086,1.0,0.8702186616607905,0.8244690972869486
Lasso,0.6489240690498418,0.8898634181801465,0.9304333898213034,0.7693612223863451,0.3879137457089436,0.03285239126688617,0.23636829989337077,0.17711878730603173,0.9617701647204407,0.9528528455679004,0.9208176846061955,0.7368757233934426,0.8914226855446618,0.6797807131158682
Ridge,0.6216660337202831,0.9066700223510944,0.9625134603191968,0.7772651308151717,0.07956091395820597,0.04512868953161711,0.18662297369485228,0.18656540415247674,0.9969491918645121,0.9843530153801366,0.9154574886482785,0.7136842889812978,0.8757570307885435,0.6571350285652001
ElasticNet,0.6402392718294143,0.9123373702665888,0.9628973814818922,0.7849860747986165,0.21081758127024997,0.043685326926680645,0.22357719782382104,0.18516256985715057,0.9864124970999928,0.9757532385619337,0.9159537408334502,0.6820274743901834,0.882147865173693,0.6693826762667406
RF,0.6637925714436705,0.9451987949381625,0.9900580699156429,0.7946463985653304,0.2895420089313399,0.022776241281976268,0.24397357580308995,0.18556907517209886,0.9853336942231852,0.9787613410314884,0.9553662112125967,0.7335215830812011,0.9046823449939929,0.6922547960993161
GBM,0.6661173055637444,0.9457846129066672,0.9861915570911108,0.8227131747583719,0.37055262989030185,0.2573184966970863,0.4876302595453751,0.28052283977947806,1.0,1.0,0.9371640240753485,0.7269024365698121,0.865261670372449,0.7442491937300082
XGB,0.6276284384876986,0.8310384030459936,0.8465664456027043,0.7265422864790174,0.2832264797776906,0.03935451426433152,0.2094816940586083,0.16513457503707868,0.8968138581702888,0.9177259715685802,0.877613187104751,0.7686843348358328,0.8225212660315102,0.6380344289303115
Neural Network,0.7688060617102349,0.9709548522646272,0.9951191181066632,0.8461699933419369,0.527417351164342,0.5361689769068246,0.6629770773637257,0.5502810791586203,0.8980473281262088,0.917774489350347,1.0,0.9088209363638963,0.9147044931559637,0.8359117053311467
