Method,Bait_Length,Component,NMF_Correlation
Chi2,60,10,0.9889898787811292
Chi2,60,11,0.9993275796977045
Chi2,60,12,-0.04269433440486944
Chi2,60,13,0.9985408265767122
Chi2,60,14,0.9989567278335754
F_classif,60,1,0.7971372564441132
F_classif,60,2,0.9999947778614908
F_classif,60,3,0.999960315251575
F_classif,60,4,0.9984773034577179
F_classif,60,5,0.9997706488763539
F_classif,60,6,0.9996731472568245
F_classif,60,7,0.9803438835627656
F_classif,60,8,0.9995965999220556
F_classif,60,9,0.8521781659596035
F_classif,60,10,0.9869114042293582
F_classif,60,11,0.9993232128614579
F_classif,60,12,-0.042596073010965095
F_classif,60,13,0.9973860973068458
F_classif,60,14,0.9988905145347339
Mutual_Info,60,1,0.9195488631407891
Mutual_Info,60,2,0.9999973221033219
Mutual_Info,60,3,0.9999568663277775
Mutual_Info,60,4,0.9970152896757907
Mutual_Info,60,5,0.9996549924965126
Mutual_Info,60,6,0.9988826683918018
Mutual_Info,60,7,0.9792491472619417
Mutual_Info,60,8,0.9987838493672854
Mutual_Info,60,9,0.9865732190846221
Mutual_Info,60,10,0.9876151536663891
Mutual_Info,60,11,0.9975151318040714
Mutual_Info,60,12,0.9938737830561282
Mutual_Info,60,13,0.9827330156342656
Mutual_Info,60,14,0.9989196097625661
Lasso,60,1,0.7744845022404186
Lasso,60,2,0.9999973156876937
Lasso,60,3,0.9999207286300594
Lasso,60,4,0.9990325022296245
Lasso,60,5,0.9998198181409589
Lasso,60,6,0.9996505261990507
Lasso,60,7,0.9802761084505719
Lasso,60,8,0.9995063234780427
Lasso,60,9,0.8521560837337511
Lasso,60,10,0.9901486377178093
Lasso,60,11,0.9994995624588843
Lasso,60,12,-0.04333039984678364
Lasso,60,13,0.9999677872907109
Lasso,60,14,0.9993978939185668
Ridge,60,1,0.7595427605548403
Ridge,60,2,0.9999965095666732
Ridge,60,3,0.9999259736290415
Ridge,60,4,0.9989963381786804
Ridge,60,5,0.9998305380605589
Ridge,60,6,0.9996386172062083
Ridge,60,7,0.9883994659394914
Ridge,60,8,0.9992746654072189
Ridge,60,9,0.8521657114503866
Ridge,60,10,0.9906564094254204
Ridge,60,11,0.999497349047133
Ridge,60,12,-0.04210476494260573
Ridge,60,13,0.9999677033985142
Ridge,60,14,0.9992499157901888
Elastic_Net,60,1,0.7652171867143504
Elastic_Net,60,2,0.9999967006072126
Elastic_Net,60,3,0.99991773255538
Elastic_Net,60,4,0.9990908009404758
Elastic_Net,60,5,0.9998211823118123
Elastic_Net,60,6,0.9996473361301432
Elastic_Net,60,7,0.9872797156029789
Elastic_Net,60,8,0.9993731254737965
Elastic_Net,60,9,0.852165053766221
Elastic_Net,60,10,0.9899310016331714
Elastic_Net,60,11,0.9994985518558159
Elastic_Net,60,12,-0.04308940326198423
Elastic_Net,60,13,0.9999679678542641
Elastic_Net,60,14,0.999066528826048
Random_Forest,60,1,-0.03607633712216779
Random_Forest,60,2,0.9999966164080999
Random_Forest,60,3,0.999952507547747
Random_Forest,60,4,0.9995435258211972
Random_Forest,60,5,0.9998236707445278
Random_Forest,60,6,0.9996617150188757
Random_Forest,60,7,0.9835004907656912
Random_Forest,60,8,0.999559621528162
Random_Forest,60,9,0.8521124138066606
Random_Forest,60,10,0.9931257852044785
Random_Forest,60,11,0.9994981042023506
Random_Forest,60,12,0.9645917914618648
Random_Forest,60,13,0.9999696229663215
Random_Forest,60,14,0.9989561090334803
Gradient_Boosting,60,1,0.7895676127616357
Gradient_Boosting,60,2,0.9999974203815397
Gradient_Boosting,60,3,0.9999557655805381
Gradient_Boosting,60,4,0.9989177411221817
Gradient_Boosting,60,5,0.9998198972421369
Gradient_Boosting,60,6,0.9996602371078761
Gradient_Boosting,60,7,0.985852297556475
Gradient_Boosting,60,8,0.9994787473933694
Gradient_Boosting,60,9,0.8521107568098375
Gradient_Boosting,60,10,0.9900061289309278
Gradient_Boosting,60,11,0.9995025146825626
Gradient_Boosting,60,12,-0.042986597883860715
Gradient_Boosting,60,13,0.9999661036746187
Gradient_Boosting,60,14,0.998744439546956
XGBoost,60,1,0.7938280639988933
XGBoost,60,2,0.9999959280671263
XGBoost,60,3,0.9993638410047717
XGBoost,60,4,0.9927360695747629
