method,bait_length,runtime_seconds
Chi2,30,0.0010869503021240234
F_classif,30,0.0013539791107177734
Mutual_Information,30,0.7447812557220459
Lasso,30,0.8287439346313477
Ridge,30,0.2282543182373047
Elastic_Net,30,0.5271649360656738
Random_Forest,30,0.15090703964233398
Gradient_Boosting,30,4.866377115249634
XGBoost,30,1.0001587867736816
Neural_Network,30,15.422024965286255
GENBAIT,30,379.9139790534973
Chi2,60,0.0009741783142089844
F_classif,60,0.001499176025390625
Mutual_Information,60,0.7238121032714844
Lasso,60,0.7301030158996582
Ridge,60,0.20276403427124023
Elastic_Net,60,0.45827603340148926
Random_Forest,60,0.13124513626098633
Gradient_Boosting,60,4.379094839096069
XGBoost,60,0.8300681114196777
Neural_Network,60,11.943365097045898
GENBAIT,60,1780.556305885315
Chi2,90,0.0009000301361083984
F_classif,90,0.002201080322265625
Mutual_Information,90,0.7325708866119385
Lasso,90,0.7272388935089111
Ridge,90,0.20241475105285645
Elastic_Net,90,0.4541349411010742
Random_Forest,90,0.13094711303710938
Gradient_Boosting,90,4.513660907745361
XGBoost,90,2.0613839626312256
Neural_Network,90,12.392093181610107
GENBAIT,90,3320.9934709072113
Chi2,30,0.000904083251953125
F_classif,30,0.0023932456970214844
Mutual_Information,30,0.736940860748291
Lasso,30,0.7356820106506348
Ridge,30,0.20128703117370605
Elastic_Net,30,0.4407169818878174
Random_Forest,30,0.13070178031921387
Gradient_Boosting,30,4.2981178760528564
XGBoost,30,1.220869779586792
Neural_Network,30,12.274848937988281
GENBAIT,30,367.508278131485
Chi2,60,0.0022318363189697266
F_classif,60,0.0030128955841064453
Mutual_Information,60,0.7351810932159424
Lasso,60,0.7329657077789307
Ridge,60,0.20819401741027832
Elastic_Net,60,0.44199395179748535
Random_Forest,60,0.12948012351989746
Gradient_Boosting,60,4.3396711349487305
XGBoost,60,1.2189462184906006
Neural_Network,60,12.519933223724365
GENBAIT,60,1821.296134710312
Chi2,90,0.0008921623229980469
F_classif,90,0.0020401477813720703
Mutual_Information,90,0.7277102470397949
Lasso,90,0.7282941341400146
Ridge,90,0.20060276985168457
Elastic_Net,90,0.43932485580444336
Random_Forest,90,0.1281747817993164
Gradient_Boosting,90,4.29732871055603
XGBoost,90,1.071458101272583
Neural_Network,90,12.366929054260254
GENBAIT,90,3166.06804728508
Chi2,30,0.0009250640869140625
F_classif,30,0.0012507438659667969
Mutual_Information,30,0.7366499900817871
Lasso,30,0.7236690521240234
Ridge,30,0.2128751277923584
Elastic_Net,30,0.49791789054870605
Random_Forest,30,0.13267993927001953
Gradient_Boosting,30,4.17366886138916
XGBoost,30,0.7843911647796631
Neural_Network,30,11.91971492767334
GENBAIT,30,324.2251989841461
Chi2,60,0.0009951591491699219
F_classif,60,0.002109050750732422
Mutual_Information,60,0.731818675994873
Lasso,60,0.7248501777648926
Ridge,60,0.21140599250793457
Elastic_Net,60,0.4984419345855713
Random_Forest,60,0.1305692195892334
Gradient_Boosting,60,4.181120872497559
XGBoost,60,0.7965590953826904
Neural_Network,60,11.833245038986206
GENBAIT,60,1726.1966779232025
Chi2,90,0.0010721683502197266
F_classif,90,0.0017180442810058594
Mutual_Information,90,0.7349669933319092
Lasso,90,0.7252087593078613
Ridge,90,0.21492791175842285
Elastic_Net,90,0.49666833877563477
Random_Forest,90,0.13080692291259766
Gradient_Boosting,90,4.1964521408081055
XGBoost,90,0.7638828754425049
Neural_Network,90,12.154764175415039
GENBAIT,90,3152.061833381653
