Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
ST7,ST7,ST7,RBM47,ST7,GRSF1,ST7,ST7,ST7,ST7,CDC5L,ST7,ST7,ST7,RBM47,ST7,GRSF1,ST7,ST7,ST7,ST7,ALG13,ST7,ST7,ST7,RBM47,ST7,GRSF1,ST7,ST7,ST7,ST7,AGO2
GRSF1,GRSF1,GRSF1,CNOT9,GRSF1,RBM47,GRSF1,GRSF1,GRSF1,GRSF1,CELF1,GRSF1,GRSF1,GRSF1,CNOT9,GRSF1,RBM47,GRSF1,GRSF1,GRSF1,GRSF1,CAPRIN1,GRSF1,GRSF1,GRSF1,CNOT9,GRSF1,RBM47,GRSF1,GRSF1,GRSF1,GRSF1,ALG13
STAU1,STAU1,CELF1,GRSF1,STAU1,ST7,STAU1,STAU1,EIF4A2,STAU1,CNOT9,STAU1,STAU1,CELF1,GRSF1,STAU1,ST7,STAU1,STAU1,EIF4A2,STAU1,CDC5L,STAU1,STAU1,CELF1,GRSF1,STAU1,ST7,STAU1,STAU1,EIF4A2,STAU1,ANKRD17
CDC5L,RBM47,STAU1,NXF1,SMG7,STAU1,SMG7,CNOT9,LSM2,CELF1,DAZL,CDC5L,RBM47,STAU1,NXF1,SMG7,STAU1,SMG7,CNOT9,LSM2,CDC5L,CELF1,CDC5L,RBM47,STAU1,NXF1,SMG7,STAU1,SMG7,CNOT9,LSM2,LZTS2,ATXN2
RBM47,CDC5L,ELAVL1,SMG7,RBM47,CNOT9,LZTS2,LZTS2,FUBP3,LZTS2,EIF4A3,RBM47,CDC5L,ELAVL1,SMG7,RBM47,CNOT9,LZTS2,LZTS2,FUBP3,CELF1,CNOT2,RBM47,CDC5L,ELAVL1,SMG7,RBM47,CNOT9,LZTS2,LZTS2,FUBP3,CELF1,CAPRIN1
LZTS2,SMG7,DAZL,STAU1,CNOT9,NXF1,CDC5L,ELAVL1,PABPC1,ELAVL1,ELAVL1,LZTS2,SMG7,DAZL,STAU1,CNOT9,NXF1,CDC5L,ELAVL1,PABPC1,CNOT9,CNOT6L,LZTS2,SMG7,DAZL,STAU1,CNOT9,NXF1,CDC5L,ELAVL1,PABPC1,ELAVL1,CDC5L
SMG7,LZTS2,CNOT9,ST7,ELAVL1,LZTS2,ELAVL1,SMG7,ELAVL1,NXF1,FAM120C,SMG7,LZTS2,CNOT9,ST7,ELAVL1,LZTS2,ELAVL1,SMG7,ELAVL1,LZTS2,CNOT7,SMG7,LZTS2,CNOT9,ST7,ELAVL1,LZTS2,ELAVL1,SMG7,ELAVL1,CNOT9,CELF1
EIF4A2,ELAVL1,SMG7,CDC5L,LZTS2,SMG7,CNOT9,CDC5L,DDX20,KIAA0355,FXR1,EIF4A2,ELAVL1,SMG7,CDC5L,LZTS2,SMG7,CNOT9,CDC5L,DDX20,ELAVL1,CNOT9,EIF4A2,ELAVL1,SMG7,CDC5L,LZTS2,SMG7,CNOT9,CDC5L,DDX20,KIAA0355,CNOT2
ELAVL1,EIF4A2,LZTS2,LZTS2,CDC5L,CELF1,SUPT5H,SUPT5H,STAU1,CDC5L,FXR2,ELAVL1,EIF4A2,LZTS2,LZTS2,CDC5L,CELF1,SUPT5H,SUPT5H,STAU1,NXF1,CPSF1,ELAVL1,EIF4A2,LZTS2,LZTS2,CDC5L,CELF1,SUPT5H,SUPT5H,STAU1,SMG7,CNOT6L
SUPT5H,SMAP2,RBM47,SUPT5H,NXF1,ILF3,NXF1,NXF1,RNGTT,CNOT9,GRSF1,SUPT5H,SMAP2,RBM47,SUPT5H,NXF1,ILF3,NXF1,NXF1,RNGTT,SMG7,DAZL,SUPT5H,SMAP2,RBM47,SUPT5H,NXF1,ILF3,NXF1,NXF1,RNGTT,TNRC6B,CNOT7
SMAP2,SUPT5H,MEX3B,ILF3,ILF3,ELAVL1,SMAP2,TNRC6C,SMAP2,FAM120C,KIAA0355,SMAP2,SUPT5H,MEX3B,ILF3,ILF3,ELAVL1,SMAP2,TNRC6C,SMAP2,FAM120C,DDX3X,SMAP2,SUPT5H,MEX3B,ILF3,ILF3,ELAVL1,SMAP2,TNRC6C,SMAP2,CDC5L,CNOT9
LSM2,LSM2,CDC5L,CPSF1,EXOSC10,CDC5L,RBM47,LSM2,TNRC6C,RBM47,LSM2,LSM2,LSM2,CDC5L,CPSF1,EXOSC10,CDC5L,RBM47,LSM2,TNRC6C,KIAA0355,DDX6,LSM2,LSM2,CDC5L,CPSF1,EXOSC10,CDC5L,RBM47,LSM2,TNRC6C,NXF1,CPEB4
NXF1,NXF1,SUPT5H,SMAP2,CELF1,SMAP2,CPSF1,FAM120C,RBM47,SMG7,LSM4,NXF1,NXF1,SUPT5H,SMAP2,CELF1,SMAP2,CPSF1,FAM120C,RBM47,RBM47,EIF4A2,NXF1,NXF1,SUPT5H,SMAP2,CELF1,SMAP2,CPSF1,FAM120C,RBM47,FAM120C,CPSF1
CNOT9,CELF1,ZC3HAV1,ELAVL1,SMAP2,FAM120C,LSM2,CPSF1,IBTK,TNRC6B,LZTS2,CNOT9,CELF1,ZC3HAV1,ELAVL1,SMAP2,FAM120C,LSM2,CPSF1,IBTK,TNRC6B,EIF4A3,CNOT9,CELF1,ZC3HAV1,ELAVL1,SMAP2,FAM120C,LSM2,CPSF1,IBTK,RBM47,DAZL
CPSF1,CNOT9,YTHDF3,FAM120C,FAM120C,EXOSC10,FAM120C,SMAP2,LZTS2,MEX3B,MEX3B,CPSF1,CNOT9,YTHDF3,FAM120C,FAM120C,EXOSC10,FAM120C,SMAP2,LZTS2,SUPT5H,ELAVL1,CPSF1,CNOT9,YTHDF3,FAM120C,FAM120C,EXOSC10,FAM120C,SMAP2,LZTS2,DAZL,DCP1A
ILF3,CPSF1,FAM120C,CELF1,SUPT5H,SUPT5H,CELF1,DAZL,SUPT5H,LSM2,NXF1,ILF3,CPSF1,FAM120C,CELF1,SUPT5H,SUPT5H,CELF1,DAZL,SUPT5H,DAZL,EXOSC10,ILF3,CPSF1,FAM120C,CELF1,SUPT5H,SUPT5H,CELF1,DAZL,SUPT5H,SUPT5H,DDX20
CELF1,LSM4,PUM1,EXOSC10,EIF4A3,EIF4A3,ILF3,RBM47,EIF4ENIF1,DAZL,PABPC1,CELF1,LSM4,PUM1,EXOSC10,EIF4A3,EIF4A3,ILF3,RBM47,EIF4ENIF1,EIF4A3,FAM120C,CELF1,LSM4,PUM1,EXOSC10,EIF4A3,EIF4A3,ILF3,RBM47,EIF4ENIF1,LSM2,DDX3X
LSM4,EIF4A1,SMAP2,EIF4A3,CPSF1,CPSF1,EXOSC10,ILF3,PUM1,CPSF1,PUM1,LSM4,EIF4A1,SMAP2,EIF4A3,CPSF1,CPSF1,EXOSC10,ILF3,PUM1,LSM2,FMR1,LSM4,EIF4A1,SMAP2,EIF4A3,CPSF1,CPSF1,EXOSC10,ILF3,PUM1,MEX3B,DDX6
EIF4A1,ILF3,FXR2,LSM2,PRPF19,PRPF19,TDRD3,CELF1,MOV10,SUPT5H,RBM47,EIF4A1,ILF3,FXR2,LSM2,PRPF19,PRPF19,TDRD3,CELF1,MOV10,CPSF1,FXR1,EIF4A1,ILF3,FXR2,LSM2,PRPF19,PRPF19,TDRD3,CELF1,MOV10,CPSF1,EIF4A1
RNGTT,DAZL,IGF2BP1,EIF4A2,KIF1B,KIF1B,TNRC6C,FXR2,CDC5L,ZC3HAV1,SMAP2,RNGTT,DAZL,IGF2BP1,EIF4A2,KIF1B,KIF1B,TNRC6C,FXR2,CDC5L,MEX3B,FXR2,RNGTT,DAZL,IGF2BP1,EIF4A2,KIF1B,KIF1B,TNRC6C,FXR2,CDC5L,ZC3HAV1,EIF4A2
EXOSC10,FAM120C,MOV10,DAZL,ALG13,DAZL,EIF4A3,RNGTT,USP10,EIF4A3,SMG7,EXOSC10,FAM120C,MOV10,DAZL,ALG13,DAZL,EIF4A3,RNGTT,USP10,ZC3HAV1,G3BP1,EXOSC10,FAM120C,MOV10,DAZL,ALG13,DAZL,EIF4A3,RNGTT,USP10,TNRC6C,EIF4A3
LSM1,LSM1,LSM2,PRPF19,LSM2,LSM2,LSM4,PABPC1,PRPF19,TNRC6C,ST7,LSM1,LSM1,LSM2,PRPF19,LSM2,LSM2,LSM4,PABPC1,PRPF19,FXR2,GRSF1,LSM1,LSM1,LSM2,PRPF19,LSM2,LSM2,LSM4,PABPC1,PRPF19,EIF4A3,ELAVL1
EIF4A3,PABPC1,UBAP2L,TDRD3,MCRIP2,SDCCAG3,TNRC6B,MOV10,GTPBP1,ZFP36,STAU1,EIF4A3,PABPC1,UBAP2L,TDRD3,MCRIP2,SDCCAG3,TNRC6B,MOV10,GTPBP1,PABPC1,IGF2BP2,EIF4A3,PABPC1,UBAP2L,TDRD3,MCRIP2,SDCCAG3,TNRC6B,MOV10,GTPBP1,FXR2,EXOSC10
IBTK,RBMS1,RBMS1,RNGTT,KIAA1429,EIF4A2,KIAA0355,TDRD3,THOC1,PABPC1,SUPT5H,IBTK,RBMS1,RBMS1,RNGTT,KIAA1429,EIF4A2,KIAA0355,TDRD3,THOC1,TDRD3,ILF3,IBTK,RBMS1,RBMS1,RNGTT,KIAA1429,EIF4A2,KIAA0355,TDRD3,THOC1,PABPC1,FAM120C
TNRC6C,RNGTT,KIAA0355,LSM4,SDCCAG3,TDRD3,SAMD4B,KIAA0355,KIAA0355,SMAP2,TNRC6A,TNRC6C,RNGTT,KIAA0355,LSM4,SDCCAG3,TDRD3,SAMD4B,KIAA0355,KIAA0355,FXR1,KIAA0355,TNRC6C,RNGTT,KIAA0355,LSM4,SDCCAG3,TDRD3,SAMD4B,KIAA0355,KIAA0355,ZFP36,FMR1
PABPC1,TNRC6B,IGF2BP2,SAMD4B,TDRD3,MCRIP2,RNGTT,EIF4A3,NXF1,FXR2,TNRC6B,PABPC1,TNRC6B,IGF2BP2,SAMD4B,TDRD3,MCRIP2,RNGTT,EIF4A3,NXF1,TNRC6C,LSM1,PABPC1,TNRC6B,IGF2BP2,SAMD4B,TDRD3,MCRIP2,RNGTT,EIF4A3,NXF1,FXR1,FUBP3
DAZL,TNRC6C,NXF1,FXR1,ZC3HAV1,ALG13,EIF4A2,SDCCAG3,PDCD4,TDRD3,TNRC6C,DAZL,TNRC6C,NXF1,FXR1,ZC3HAV1,ALG13,EIF4A2,SDCCAG3,PDCD4,ZFP36,LSM14A,DAZL,TNRC6C,NXF1,FXR1,ZC3HAV1,ALG13,EIF4A2,SDCCAG3,PDCD4,XRN2,FXR1
FAM120C,PUM1,FXR1,SDCCAG3,XRN2,SAMD4B,PRPF19,EXOSC10,DAZL,FXR1,UBAP2L,FAM120C,PUM1,FXR1,SDCCAG3,XRN2,SAMD4B,PRPF19,EXOSC10,DAZL,SMAP2,LSM2,FAM120C,PUM1,FXR1,SDCCAG3,XRN2,SAMD4B,PRPF19,EXOSC10,DAZL,TDRD3,FXR2
TNRC6B,EIF4A3,TNRC6C,THOC1,EIF4A2,XRN2,SDCCAG3,SAMD4B,SMG7,TNRC6A,YTHDF3,TNRC6B,EIF4A3,TNRC6C,THOC1,EIF4A2,XRN2,SDCCAG3,SAMD4B,SMG7,XRN2,LSM4,TNRC6B,EIF4A3,TNRC6C,THOC1,EIF4A2,XRN2,SDCCAG3,SAMD4B,SMG7,TNRC6A,G3BP1
PRPF19,EXOSC10,G3BP1,IBTK,SAMD4B,RNGTT,FXR2,TNRC6B,CNOT9,PUM1,ZC3HAV1,PRPF19,EXOSC10,G3BP1,IBTK,SAMD4B,RNGTT,FXR2,TNRC6B,CNOT9,RBMS1,LZTS2,PRPF19,EXOSC10,G3BP1,IBTK,SAMD4B,RNGTT,FXR2,TNRC6B,CNOT9,RBMS1,GLE1
,,,,,,,,,,,RBMS1,TNRC6A,CPEB4,FXR2,KIAA0355,MOV10,ZC3HAV1,FXR1,IPO11,PRPF19,MCRIP2,RBMS1,TNRC6A,CPEB4,FXR2,KIAA0355,MOV10,ZC3HAV1,FXR1,IPO11,UBAP2L,GRSF1
,,,,,,,,,,,SDCCAG3,IBTK,CNOT2,ALG13,NCBP2,ZC3HAV1,MEX3B,PRPF19,TNRC6B,UBAP2L,MEX3B,SDCCAG3,IBTK,CNOT2,ALG13,NCBP2,ZC3HAV1,MEX3B,PRPF19,TNRC6B,PRPF19,IGF2BP1
,,,,,,,,,,,TNRC6A,MOV10,TNRC6A,TNRC6B,MOV10,KIAA1429,DAZL,ZC3H7A,LSM4,TNRC6A,MOV10,TNRC6A,MOV10,TNRC6A,TNRC6B,MOV10,KIAA1429,DAZL,ZC3H7A,LSM4,SMAP2,IGF2BP2
,,,,,,,,,,,THOC1,YTHDF3,DDX3X,ZFP36,IBTK,ZFP36,THOC1,TNRC6A,SDCCAG3,CPEB4,NXF1,THOC1,YTHDF3,DDX3X,ZFP36,IBTK,ZFP36,THOC1,TNRC6A,SDCCAG3,YTHDF3,ILF3
,,,,,,,,,,,MOV10,UBAP2L,CPSF1,TNRC6A,RNGTT,CTIF,FXR1,ZC3HAV1,UNK,CAPRIN1,PABPC1,MOV10,UBAP2L,CPSF1,TNRC6A,RNGTT,CTIF,FXR1,ZC3HAV1,UNK,PUM1,KIAA0355
,,,,,,,,,,,KIAA0355,TDRD3,EIF4A2,KIAA1429,THOC1,IBTK,MOV10,USP10,FXR2,PUM1,PRPF19,KIAA0355,TDRD3,EIF4A2,KIAA1429,THOC1,IBTK,MOV10,USP10,FXR2,LSM1,KIAA1429
,,,,,,,,,,,TDRD3,KIAA0355,TDRD3,CTIF,LSM4,LSM4,TNRC6A,CPEB4,FXR1,UNK,PUM1,TDRD3,KIAA0355,TDRD3,CTIF,LSM4,LSM4,TNRC6A,CPEB4,FXR1,SDCCAG3,LARP4B
,,,,,,,,,,,PUM1,PRPF19,YTHDF2,XRN2,FXR2,NCBP2,PABPC1,THOC1,CPSF1,SDCCAG3,R3HDM2,PUM1,PRPF19,YTHDF2,XRN2,FXR2,NCBP2,PABPC1,THOC1,CPSF1,UNK,LSM1
,,,,,,,,,,,FXR1,CPEB4,LSM12,TNRC6C,MEX3B,THOC1,XRN2,UNK,ILF3,YTHDF3,RBM47,FXR1,CPEB4,LSM12,TNRC6C,MEX3B,THOC1,XRN2,UNK,ILF3,CPEB4,LSM14A
,,,,,,,,,,,SAMD4B,IGF2BP2,R3HDM2,KIF1B,CTIF,FXR1,CPEB4,CAPRIN1,OTUD4,THOC1,RBMS1,SAMD4B,IGF2BP2,R3HDM2,KIF1B,CTIF,FXR1,CPEB4,CAPRIN1,OTUD4,CAPRIN1,LSM2
,,,,,,,,,,,CPEB4,FUBP3,ILF3,PDCD4,GLE1,TNRC6B,UNK,LSM4,CAPRIN1,LSM1,RNGTT,CPEB4,FUBP3,ILF3,PDCD4,GLE1,TNRC6B,UNK,LSM4,CAPRIN1,MOV10,LSM4
,,,,,,,,,,,FXR2,SDCCAG3,TNRC6B,CAPRIN1,ZFP36,FXR2,USP10,KIF1B,ZC3H7A,MOV10,SAMD4B,FXR2,SDCCAG3,TNRC6B,CAPRIN1,ZFP36,FXR2,USP10,KIF1B,ZC3H7A,LSM4,LZTS2
,,,,,,,,,,,UBAP2L,FXR1,ALG13,GTPBP1,SYMPK,MEX3B,ALG13,MEX3B,EIF4A3,ALG13,SDCCAG3,UBAP2L,FXR1,ALG13,GTPBP1,SYMPK,MEX3B,ALG13,MEX3B,EIF4A3,ILF3,MARF1
