Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
ST7,ST7,ST7,CDC5L,ST7,ST7,ST7,ST7,ST7,ST7,CDC5L,ST7,ST7,ST7,CDC5L,ST7,ST7,ST7,ST7,ST7,ST7,ALG13,ST7,ST7,ST7,CDC5L,ST7,ST7,ST7,ST7,ST7,ST7,AGO2
GRSF1,GRSF1,GRSF1,RBM47,GRSF1,STAU1,GRSF1,GRSF1,GRSF1,GRSF1,CELF1,GRSF1,GRSF1,GRSF1,RBM47,GRSF1,STAU1,GRSF1,GRSF1,GRSF1,GRSF1,CAPRIN1,GRSF1,GRSF1,GRSF1,RBM47,GRSF1,STAU1,GRSF1,GRSF1,GRSF1,GRSF1,ALG13
STAU1,STAU1,STAU1,STAU1,STAU1,ELAVL1,STAU1,STAU1,USP10,STAU1,CNOT9,STAU1,STAU1,STAU1,STAU1,STAU1,ELAVL1,STAU1,STAU1,USP10,ELAVL1,CDC5L,STAU1,STAU1,STAU1,STAU1,STAU1,ELAVL1,STAU1,STAU1,USP10,CNOT9,ANKRD17
CDC5L,CDC5L,CELF1,GRSF1,SMG7,CDC5L,LZTS2,ELAVL1,SMAP2,LZTS2,DAZL,CDC5L,CDC5L,CELF1,GRSF1,SMG7,CDC5L,LZTS2,ELAVL1,SMAP2,CNOT9,CELF1,CDC5L,CDC5L,CELF1,GRSF1,SMG7,CDC5L,LZTS2,ELAVL1,SMAP2,SMG7,ATXN2
RBM47,RBM47,ELAVL1,CNOT9,ELAVL1,GRSF1,SMG7,CDC5L,LSM2,ELAVL1,ELAVL1,RBM47,RBM47,ELAVL1,CNOT9,ELAVL1,GRSF1,SMG7,CDC5L,LSM2,LZTS2,CNOT2,RBM47,RBM47,ELAVL1,CNOT9,ELAVL1,GRSF1,SMG7,CDC5L,LSM2,ELAVL1,CAPRIN1
ELAVL1,ELAVL1,RBM47,SMAP2,CDC5L,RBM47,ELAVL1,LZTS2,DAZL,SMG7,FAM120C,ELAVL1,ELAVL1,RBM47,SMAP2,CDC5L,RBM47,ELAVL1,LZTS2,DAZL,SMG7,CNOT6L,ELAVL1,ELAVL1,RBM47,SMAP2,CDC5L,RBM47,ELAVL1,LZTS2,DAZL,NXF1,CDC5L
LSM2,LSM2,FAM120C,SUPT5H,RBM47,CNOT9,CDC5L,CNOT9,STAU1,CNOT9,FMR1,LSM2,LSM2,FAM120C,SUPT5H,RBM47,CNOT9,CDC5L,CNOT9,STAU1,CELF1,CNOT7,LSM2,LSM2,FAM120C,SUPT5H,RBM47,CNOT9,CDC5L,CNOT9,STAU1,LZTS2,CELF1
LZTS2,LZTS2,SMG7,ST7,CNOT9,SMG7,CNOT9,SMG7,TNRC6C,CDC5L,FXR1,LZTS2,LZTS2,SMG7,ST7,CNOT9,SMG7,CNOT9,SMG7,TNRC6C,STAU1,CNOT9,LZTS2,LZTS2,SMG7,ST7,CNOT9,SMG7,CNOT9,SMG7,TNRC6C,STAU1,CNOT2
SMAP2,SMAP2,CNOT9,ELAVL1,SUPT5H,SUPT5H,SUPT5H,SUPT5H,ELAVL1,NXF1,FXR2,SMAP2,SMAP2,CNOT9,ELAVL1,SUPT5H,SUPT5H,SUPT5H,SUPT5H,ELAVL1,CDC5L,CPEB4,SMAP2,SMAP2,CNOT9,ELAVL1,SUPT5H,SUPT5H,SUPT5H,SUPT5H,ELAVL1,CDC5L,CNOT6L
SMG7,SMG7,NXF1,NXF1,LZTS2,NXF1,NXF1,DAZL,RNGTT,MEX3B,GRSF1,SMG7,SMG7,NXF1,NXF1,LZTS2,NXF1,NXF1,DAZL,RNGTT,NXF1,CPSF1,SMG7,SMG7,NXF1,NXF1,LZTS2,NXF1,NXF1,DAZL,RNGTT,MEX3B,CNOT7
SUPT5H,SUPT5H,LZTS2,LZTS2,NXF1,ILF3,SMAP2,TNRC6C,LSM4,CELF1,KIAA0355,SUPT5H,SUPT5H,LZTS2,LZTS2,NXF1,ILF3,SMAP2,TNRC6C,LSM4,RBM47,DAZL,SUPT5H,SUPT5H,LZTS2,LZTS2,NXF1,ILF3,SMAP2,TNRC6C,LSM4,CELF1,CNOT9
NXF1,NXF1,SUPT5H,SMG7,ILF3,LZTS2,RBM47,NXF1,ZC3H7A,KIAA0355,LSM2,NXF1,NXF1,SUPT5H,SMG7,ILF3,LZTS2,RBM47,NXF1,ZC3H7A,MEX3B,DDX3X,NXF1,NXF1,SUPT5H,SMG7,ILF3,LZTS2,RBM47,NXF1,ZC3H7A,KIAA0355,CPEB4
LSM4,LSM4,TNRC6C,ILF3,EXOSC10,SMAP2,FAM120C,SMAP2,PDCD4,RBM47,LSM4,LSM4,LSM4,TNRC6C,ILF3,EXOSC10,SMAP2,FAM120C,SMAP2,PDCD4,KIAA0355,EIF4A3,LSM4,LSM4,TNRC6C,ILF3,EXOSC10,SMAP2,FAM120C,SMAP2,PDCD4,SUPT5H,CPSF1
CNOT9,CNOT9,ZC3HAV1,LSM2,CPSF1,CELF1,CELF1,FAM120C,CDC5L,FAM120C,LZTS2,CNOT9,CNOT9,ZC3HAV1,LSM2,CPSF1,CELF1,CELF1,FAM120C,CDC5L,SUPT5H,ELAVL1,CNOT9,CNOT9,ZC3HAV1,LSM2,CPSF1,CELF1,CELF1,FAM120C,CDC5L,RBM47,CSDE1
LSM1,CELF1,PABPC1,TNRC6B,SMAP2,CPSF1,LSM2,TNRC6B,GTPBP1,SUPT5H,MEX3B,LSM1,CELF1,PABPC1,TNRC6B,SMAP2,CPSF1,LSM2,TNRC6B,GTPBP1,FAM120C,EXOSC10,LSM1,CELF1,PABPC1,TNRC6B,SMAP2,CPSF1,LSM2,TNRC6B,GTPBP1,FAM120C,DAZL
CELF1,DAZL,TNRC6B,TNRC6A,CELF1,SDCCAG3,ILF3,LSM2,RBM47,ALG13,NXF1,CELF1,DAZL,TNRC6B,TNRC6A,CELF1,SDCCAG3,ILF3,LSM2,RBM47,ALG13,FAM120C,CELF1,DAZL,TNRC6B,TNRC6A,CELF1,SDCCAG3,ILF3,LSM2,RBM47,RNGTT,DCP1A
