Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
ST7,ST7,ST7,ILF3,ST7,GRSF1,ST7,ST7,ST7,ST7,CDC5L,ST7,ST7,ST7,ILF3,ST7,GRSF1,ST7,ST7,ST7,ST7,ALG13,ST7,ST7,ST7,ILF3,ST7,GRSF1,ST7,ST7,ST7,ST7,AGO2
GRSF1,GRSF1,GRSF1,NXF1,GRSF1,ST7,GRSF1,GRSF1,GRSF1,GRSF1,CELF1,GRSF1,GRSF1,GRSF1,NXF1,GRSF1,ST7,GRSF1,GRSF1,GRSF1,GRSF1,CAPRIN1,GRSF1,GRSF1,GRSF1,NXF1,GRSF1,ST7,GRSF1,GRSF1,GRSF1,GRSF1,ALG13
STAU1,STAU1,ELAVL1,CDC5L,STAU1,STAU1,STAU1,STAU1,SMAP2,ELAVL1,CNOT2,STAU1,STAU1,ELAVL1,CDC5L,STAU1,STAU1,STAU1,STAU1,SMAP2,STAU1,CDC5L,STAU1,STAU1,ELAVL1,CDC5L,STAU1,STAU1,STAU1,STAU1,SMAP2,ELAVL1,ANKRD17
ILF3,ILF3,STAU1,GRSF1,ELAVL1,ILF3,LZTS2,LZTS2,RBM47,STAU1,CNOT9,ILF3,ILF3,STAU1,GRSF1,ELAVL1,ILF3,LZTS2,LZTS2,RBM47,ELAVL1,CELF1,ILF3,ILF3,STAU1,GRSF1,ELAVL1,ILF3,LZTS2,LZTS2,RBM47,STAU1,CAPRIN1
CDC5L,SMAP2,LZTS2,ST7,CDC5L,NXF1,SMG7,ELAVL1,LSM2,SMG7,DAZL,CDC5L,SMAP2,LZTS2,ST7,CDC5L,NXF1,SMG7,ELAVL1,LSM2,SMG7,CNOT2,CDC5L,SMAP2,LZTS2,ST7,CDC5L,NXF1,SMG7,ELAVL1,LSM2,SMG7,CDC5L
LZTS2,LZTS2,MEX3B,SMAP2,LZTS2,CNOT9,ELAVL1,SUPT5H,TNRC6A,LZTS2,EIF4A3,LZTS2,LZTS2,MEX3B,SMAP2,LZTS2,CNOT9,ELAVL1,SUPT5H,TNRC6A,LZTS2,CNOT6L,LZTS2,LZTS2,MEX3B,SMAP2,LZTS2,CNOT9,ELAVL1,SUPT5H,TNRC6A,LZTS2,CELF1
SMAP2,ELAVL1,SMAP2,SUPT5H,SMG7,ELAVL1,NXF1,NXF1,EIF4A2,CNOT9,ELAVL1,SMAP2,ELAVL1,SMAP2,SUPT5H,SMG7,ELAVL1,NXF1,NXF1,EIF4A2,CELF1,CNOT7,SMAP2,ELAVL1,SMAP2,SUPT5H,SMG7,ELAVL1,NXF1,NXF1,EIF4A2,CELF1,CNOT2
ELAVL1,CDC5L,CELF1,STAU1,ILF3,CDC5L,SUPT5H,SMG7,RNGTT,MEX3B,FAM120C,ELAVL1,CDC5L,CELF1,STAU1,ILF3,CDC5L,SUPT5H,SMG7,RNGTT,MEX3B,CNOT9,ELAVL1,CDC5L,CELF1,STAU1,ILF3,CDC5L,SUPT5H,SMG7,RNGTT,CNOT9,CNOT6L
LSM2,LSM2,SMG7,LZTS2,NXF1,SUPT5H,CDC5L,CDC5L,LSM4,CELF1,FMR1,LSM2,LSM2,SMG7,LZTS2,NXF1,SUPT5H,CDC5L,CDC5L,LSM4,CNOT9,CPSF1,LSM2,LSM2,SMG7,LZTS2,NXF1,SUPT5H,CDC5L,CDC5L,LSM4,MEX3B,CNOT7
SMG7,SMG7,ZC3HAV1,ELAVL1,CNOT9,LZTS2,SMAP2,RBM47,GTPBP1,SMAP2,FXR1,SMG7,SMG7,ZC3HAV1,ELAVL1,CNOT9,LZTS2,SMAP2,RBM47,GTPBP1,SMAP2,DAZL,SMG7,SMG7,ZC3HAV1,ELAVL1,CNOT9,LZTS2,SMAP2,RBM47,GTPBP1,TNRC6B,CNOT9
SUPT5H,SUPT5H,ILF3,SMG7,SMAP2,SMAP2,CNOT9,TNRC6A,LZTS2,NXF1,FXR2,SUPT5H,SUPT5H,ILF3,SMG7,SMAP2,SMAP2,CNOT9,TNRC6A,LZTS2,NXF1,DDX3X,SUPT5H,SUPT5H,ILF3,SMG7,SMAP2,SMAP2,CNOT9,TNRC6A,LZTS2,NXF1,CPEB4
NXF1,NXF1,NXF1,CNOT9,SUPT5H,SMG7,CELF1,SMAP2,ELAVL1,CDC5L,GRSF1,NXF1,NXF1,NXF1,CNOT9,SUPT5H,SMG7,CELF1,SMAP2,ELAVL1,CDC5L,EIF4A3,NXF1,NXF1,NXF1,CNOT9,SUPT5H,SMG7,CELF1,SMAP2,ELAVL1,SMAP2,CPSF1
LSM4,CELF1,DAZL,CPSF1,EIF4A3,MEX3B,MEX3B,CNOT9,PDCD4,TNRC6B,LSM2,LSM4,CELF1,DAZL,CPSF1,EIF4A3,MEX3B,MEX3B,CNOT9,PDCD4,SUPT5H,ELAVL1,LSM4,CELF1,DAZL,CPSF1,EIF4A3,MEX3B,MEX3B,CNOT9,PDCD4,ZC3HAV1,DAZL
RBM47,CNOT9,CNOT9,LSM2,CELF1,EIF4A3,ILF3,LSM2,STAU1,EIF4A3,LSM4,RBM47,CNOT9,CNOT9,LSM2,CELF1,EIF4A3,ILF3,LSM2,STAU1,FAM120C,EXOSC10,RBM47,CNOT9,CNOT9,LSM2,CELF1,EIF4A3,ILF3,LSM2,STAU1,TNRC6A,DCP1A
CNOT9,RBM47,RBM47,MEX3B,CPSF1,CPSF1,LSM2,MEX3B,ILF3,DAZL,LZTS2,CNOT9,RBM47,RBM47,MEX3B,CPSF1,CPSF1,LSM2,MEX3B,ILF3,DAZL,FAM120C,CNOT9,RBM47,RBM47,MEX3B,CPSF1,CPSF1,LSM2,MEX3B,ILF3,FAM120C,DDX20
CPSF1,LSM4,LSM4,TNRC6B,EXOSC10,FAM120C,CPSF1,CELF1,USP10,FAM120C,MEX3B,CPSF1,LSM4,LSM4,TNRC6B,EXOSC10,FAM120C,CPSF1,CELF1,USP10,EIF4A3,FMR1,CPSF1,LSM4,LSM4,TNRC6B,EXOSC10,FAM120C,CPSF1,CELF1,USP10,DAZL,DDX3X
CELF1,CPSF1,SUPT5H,FAM120C,MEX3B,CELF1,FAM120C,CPSF1,THOC1,SUPT5H,NXF1,CELF1,CPSF1,SUPT5H,FAM120C,MEX3B,CELF1,FAM120C,CPSF1,THOC1,ZC3HAV1,FUBP3,CELF1,CPSF1,SUPT5H,FAM120C,MEX3B,CELF1,FAM120C,CPSF1,THOC1,CDC5L,DDX6
KIF1B,RBMS1,TNRC6A,TNRC6C,ALG13,EXOSC10,RBM47,FAM120C,FUBP3,TNRC6A,PUM1,KIF1B,RBMS1,TNRC6A,TNRC6C,ALG13,EXOSC10,RBM47,FAM120C,FUBP3,TNRC6B,FXR1,KIF1B,RBMS1,TNRC6A,TNRC6C,ALG13,EXOSC10,RBM47,FAM120C,FUBP3,SUPT5H,EIF4A1
LSM1,TNRC6A,LSM2,EIF4A3,FAM120C,SDCCAG3,TNRC6A,TNRC6B,SAMD4B,LSM2,RBM47,LSM1,TNRC6A,LSM2,EIF4A3,FAM120C,SDCCAG3,TNRC6A,TNRC6B,SAMD4B,ILF3,FXR2,LSM1,TNRC6A,LSM2,EIF4A3,FAM120C,SDCCAG3,TNRC6A,TNRC6B,SAMD4B,KIAA0355,EIF4A2
TNRC6C,MEX3B,R3HDM2,TNRC6A,KIAA1429,PRPF19,EXOSC10,TNRC6C,RBMS1,ILF3,SMAP2,TNRC6C,MEX3B,R3HDM2,TNRC6A,KIAA1429,PRPF19,EXOSC10,TNRC6C,RBMS1,KIAA0355,G3BP1,TNRC6C,MEX3B,R3HDM2,TNRC6A,KIAA1429,PRPF19,EXOSC10,TNRC6C,RBMS1,EIF4A3,EIF4A3
TNRC6A,DAZL,ZC3H7A,SDCCAG3,LSM2,LSM2,TNRC6C,RNGTT,CDC5L,KIAA0355,SMG7,TNRC6A,DAZL,ZC3H7A,SDCCAG3,LSM2,LSM2,TNRC6C,RNGTT,CDC5L,RBM47,GRSF1,TNRC6A,DAZL,ZC3H7A,SDCCAG3,LSM2,LSM2,TNRC6C,RNGTT,CDC5L,RBM47,EIF4ENIF1
RNGTT,TNRC6B,CNOT2,EXOSC10,PRPF19,KIAA1429,RNGTT,KIF1B,KIF1B,ZC3HAV1,ST7,RNGTT,TNRC6B,CNOT2,EXOSC10,PRPF19,KIAA1429,RNGTT,KIF1B,KIF1B,ALG13,IGF2BP2,RNGTT,TNRC6B,CNOT2,EXOSC10,PRPF19,KIAA1429,RNGTT,KIF1B,KIF1B,ILF3,ELAVL1
PRPF19,FAM120C,ZFP36,PRPF19,SDCCAG3,KIAA0355,LSM4,EXOSC10,SDCCAG3,RBM47,STAU1,PRPF19,FAM120C,ZFP36,PRPF19,SDCCAG3,KIAA0355,LSM4,EXOSC10,SDCCAG3,TNRC6A,ILF3,PRPF19,FAM120C,ZFP36,PRPF19,SDCCAG3,KIAA0355,LSM4,EXOSC10,SDCCAG3,TDRD3,EXOSC10
RBMS1,TNRC6C,FUBP3,IGF2BP2,KIF1B,ALG13,KIF1B,SDCCAG3,SUPT5H,CPSF1,SUPT5H,RBMS1,TNRC6C,FUBP3,IGF2BP2,KIF1B,ALG13,KIF1B,SDCCAG3,SUPT5H,CPSF1,KIAA0355,RBMS1,TNRC6C,FUBP3,IGF2BP2,KIF1B,ALG13,KIF1B,SDCCAG3,SUPT5H,LSM2,FAM120C
MEX3B,LSM1,TNRC6B,CELF1,KIAA0355,KIF1B,SDCCAG3,FXR2,UBAP2L,TDRD3,TNRC6A,MEX3B,LSM1,TNRC6B,CELF1,KIAA0355,KIF1B,SDCCAG3,FXR2,UBAP2L,IGF2BP2,LSM1,MEX3B,LSM1,TNRC6B,CELF1,KIAA0355,KIF1B,SDCCAG3,FXR2,UBAP2L,RBMS1,FMR1
EXOSC10,KIF1B,UBAP2L,LSM4,RBM47,TNRC6C,PRPF19,EIF4A2,DCP1A,RBMS1,TNRC6B,EXOSC10,KIF1B,UBAP2L,LSM4,RBM47,TNRC6C,PRPF19,EIF4A2,DCP1A,TDRD3,LSM14A,EXOSC10,KIF1B,UBAP2L,LSM4,RBM47,TNRC6C,PRPF19,EIF4A2,DCP1A,IGF2BP2,FUBP3
DAZL,PABPC1,TNRC6C,RNGTT,NCBP2,ZC3HAV1,TNRC6B,TDRD3,FXR2,XRN2,TNRC6C,DAZL,PABPC1,TNRC6C,RNGTT,NCBP2,ZC3HAV1,TNRC6B,TDRD3,FXR2,LSM2,LSM2,DAZL,PABPC1,TNRC6C,RNGTT,NCBP2,ZC3HAV1,TNRC6B,TDRD3,FXR2,XRN2,FXR1
EIF4A3,UBAP2L,CNOT6L,KIAA0355,XRN2,RNGTT,EIF4A3,PRPF19,PRPF19,ALG13,UBAP2L,EIF4A3,UBAP2L,CNOT6L,KIAA0355,XRN2,RNGTT,EIF4A3,PRPF19,PRPF19,RBMS1,LSM4,EIF4A3,UBAP2L,CNOT6L,KIAA0355,XRN2,RNGTT,EIF4A3,PRPF19,PRPF19,FXR1,FXR2
FAM120C,PRPF19,CDC5L,THOC1,LSM4,SAMD4B,KIAA0355,ZC3HAV1,ALG13,ZFP36,YTHDF3,FAM120C,PRPF19,CDC5L,THOC1,LSM4,SAMD4B,KIAA0355,ZC3HAV1,ALG13,PRRC2A,LZTS2,FAM120C,PRPF19,CDC5L,THOC1,LSM4,SAMD4B,KIAA0355,ZC3HAV1,ALG13,TNRC6C,G3BP1
TNRC6B,RNGTT,CPSF1,FXR1,ZC3HAV1,TNRC6B,ALG13,EIF4A3,EXOSC10,IGF2BP2,ZC3HAV1,TNRC6B,RNGTT,CPSF1,FXR1,ZC3HAV1,TNRC6B,ALG13,EIF4A3,EXOSC10,XRN2,MCRIP2,TNRC6B,RNGTT,CPSF1,FXR1,ZC3HAV1,TNRC6B,ALG13,EIF4A3,EXOSC10,PABPC1,GLE1
,,,,,,,,,,,PABPC1,EIF4A3,G3BP1,LSM1,SAMD4B,RBM47,SAMD4B,DCP1A,CNOT6L,ZFP36,MEX3B,PABPC1,EIF4A3,G3BP1,LSM1,SAMD4B,RBM47,SAMD4B,DCP1A,CNOT6L,YTHDF2,GRSF1
,,,,,,,,,,,SDCCAG3,PUM1,CAPRIN1,KIAA1429,MCRIP2,LSM4,TDRD3,ALG13,UNK,PABPC1,MOV10,SDCCAG3,PUM1,CAPRIN1,KIAA1429,MCRIP2,LSM4,TDRD3,ALG13,UNK,PRRC2A,IGF2BP1
,,,,,,,,,,,ALG13,EXOSC10,RBMS1,RBM47,THOC1,TDRD3,THOC1,KIAA0355,NCBP2,YTHDF2,NXF1,ALG13,EXOSC10,RBMS1,RBM47,THOC1,TDRD3,THOC1,KIAA0355,NCBP2,ALG13,IGF2BP2
,,,,,,,,,,,THOC1,KIAA0355,YTHDF3,ZC3HAV1,RNGTT,NCBP2,DCP1A,SAMD4B,IPO11,FXR1,PABPC1,THOC1,KIAA0355,YTHDF3,ZC3HAV1,RNGTT,NCBP2,DCP1A,SAMD4B,IPO11,CPSF1,ILF3
,,,,,,,,,,,KIAA0355,IGF2BP2,EXOSC10,KIF1B,GLE1,TNRC6A,FXR2,ILF3,ZC3H7A,PRPF19,PRPF19,KIAA0355,IGF2BP2,EXOSC10,KIF1B,GLE1,TNRC6A,FXR2,ILF3,ZC3H7A,UBAP2L,KIAA0355
,,,,,,,,,,,EIF4A2,SDCCAG3,FXR1,SAMD4B,TDRD3,IPO11,PABPC1,KIAA1429,CNOT7,SDCCAG3,PRRC2A,EIF4A2,SDCCAG3,FXR1,SAMD4B,TDRD3,IPO11,PABPC1,KIAA1429,CNOT7,ZFP36,KIAA1429
