Bait,Prey
AARS2,AAK1
AARS2,AAR2
AARS2,AASDH
AARS2,AASS
AARS2,AATF
AARS2,ABCA3
AARS2,ABCB1
AARS2,ABCB7
AARS2,ABCC1
AARS2,ABCC4
AARS2,ABCC5
AARS2,ABCD1
AARS2,ABCF2
AARS2,ABI1
AARS2,ABI2
AARS2,ABL2
AARS2,ABLIM1
AARS2,ABR
AARS2,ABRAXAS1
AARS2,ACAD11
AARS2,ACADM
AARS2,ACADSB
AARS2,ACBD4
AARS2,ACBD5
AARS2,ACIN1
AARS2,ACOT1
AARS2,ACOT2
AARS2,ACSF3
AARS2,ACSL4
AARS2,ACTA1
AARS2,ACTA2
AARS2,ACTC1
AARS2,ACTR10
AARS2,ACTR2
AARS2,ADAM17
AARS2,ADAM22
AARS2,ADAM9
AARS2,ADCK2
AARS2,ADCY3
AARS2,ADCY6
AARS2,ADCY9
AARS2,ADD2
AARS2,ADGRL1
AARS2,ADGRL2
AARS2,ADIPOR1
AARS2,ADIPOR2
AARS2,ADNP
AARS2,ADNP2
AARS2,ADPGK
AARS2,AFDN
AARS2,AFTPH
AARS2,AGAP1
AARS2,AGAP3
AARS2,AGFG2
AARS2,AGGF1
AARS2,AGPAT3
AARS2,AGTPBP1
AARS2,AHCTF1
AARS2,AHCYL2
AARS2,AHNAK2
AARS2,AIF1L
AARS2,AIFM2
AARS2,AKAP1
AARS2,AKAP10
AARS2,AKAP11
AARS2,AKAP12
AARS2,AKAP13
AARS2,AKAP17A
AARS2,AKAP5
AARS2,AKAP8
AARS2,AKAP8L
AARS2,AKAP9
AARS2,AKT2
AARS2,ALAS1
AARS2,ALDH2
AARS2,ALDH3B1
AARS2,ALG13
AARS2,ALG9
AARS2,ALKBH4
AARS2,ALKBH5
AARS2,ALMS1
AARS2,AMER1
AARS2,AMIGO2
AARS2,AMOT
AARS2,AMOTL1
AARS2,ANAPC1
AARS2,ANAPC4
AARS2,ANAPC5
AARS2,ANGEL2
AARS2,ANK2
AARS2,ANKH
AARS2,ANKHD1-EIF4EBP3
AARS2,ANKLE2
AARS2,ANKRD11
AARS2,ANKRD13C
AARS2,ANKRD17
AARS2,ANKRD27
AARS2,ANKRD28
AARS2,ANKRD50
AARS2,ANKRD52
AARS2,ANKS1A
AARS2,ANKS6
AARS2,ANO10
AARS2,ANO5
AARS2,ANO8
AARS2,ANTXR1
AARS2,ANTXR2
AARS2,AP1AR
AARS2,AP2A2
AARS2,AP3S2
AARS2,AP4E1
AARS2,APBB1
AARS2,APBB2
AARS2,APC
AARS2,APOL2
AARS2,APOOL
AARS2,AQR
AARS2,ARAP2
AARS2,ARC
AARS2,AREL1
AARS2,ARF1
AARS2,ARFGAP3
AARS2,ARFIP1
AARS2,ARFIP2
AARS2,ARHGAP11A
AARS2,ARHGAP12
AARS2,ARHGAP17
AARS2,ARHGAP21
AARS2,ARHGAP29
AARS2,ARHGAP31
AARS2,ARHGAP32
AARS2,ARHGAP39
AARS2,ARHGAP5
AARS2,ARHGEF10
AARS2,ARHGEF11
AARS2,ARHGEF12
AARS2,ARHGEF16
AARS2,ARHGEF2
AARS2,ARHGEF26
AARS2,ARHGEF6
AARS2,ARID1A
AARS2,ARID1B
AARS2,ARID2
AARS2,ARID3A
AARS2,ARID3B
AARS2,ARID4B
AARS2,ARID5B
AARS2,ARL13B
AARS2,ARMCX2
AARS2,ARMCX3
AARS2,ARMCX4
AARS2,ARNT
AARS2,ARV1
AARS2,ARVCF
AARS2,ASAP1
AARS2,ASCC2
AARS2,ASCC3
AARS2,ASF1A
AARS2,ASF1B
AARS2,ASIC1
AARS2,ASPH
AARS2,ASPM
AARS2,ASXL2
AARS2,ATAD2
AARS2,ATAD3B
AARS2,ATAD5
AARS2,ATF6
AARS2,ATF7IP
