Bait,Prey
AARS2,CDK13
AARS2,CDK14
AARS2,CDK16
AARS2,CDK17
AARS2,CDK3
AARS2,CDK5RAP1
AARS2,CDK5RAP2
AARS2,CDKL5
AARS2,CDKN2A
AARS2,CDR2
AARS2,CDR2L
AARS2,CDYL
AARS2,CEBPZ
AARS2,CELF2
AARS2,CELSR1
AARS2,CELSR2
AARS2,CENPB
AARS2,CENPC
AARS2,CENPE
AARS2,CENPF
AARS2,CENPI
AARS2,CENPJ
AARS2,CENPQ
AARS2,CENPT
AARS2,CENPU
AARS2,CENPV
AARS2,CEP104
AARS2,CEP112
AARS2,CEP120
AARS2,CEP128
AARS2,CEP135
AARS2,CEP152
AARS2,CEP162
AARS2,CEP170B
AARS2,CEP192
AARS2,CEP250
AARS2,CEP290
AARS2,CEP295
AARS2,CEP41
AARS2,CEP44
AARS2,CEP57L1
AARS2,CEP63
AARS2,CEP70
AARS2,CEP72
AARS2,CEP85
AARS2,CEP85L
AARS2,CEP89
AARS2,CEP95
AARS2,CEP97
AARS2,CEPT1
AARS2,CERS4
AARS2,CERS5
AARS2,CGNL1
AARS2,CHAF1A
AARS2,CHCHD6
AARS2,CHD2
AARS2,CHD7
AARS2,CHD8
AARS2,CHD9
AARS2,CHML
AARS2,CHPT1
AARS2,CISD1
AARS2,CIT
AARS2,CIZ1
AARS2,CKAP2
AARS2,CKAP2L
AARS2,CLASRP
AARS2,CLDN1
AARS2,CLEC16A
AARS2,CLGN
AARS2,CLN6
AARS2,CLN8
AARS2,CLP1
AARS2,CLSPN
AARS2,CLTCL1
AARS2,CMC4
AARS2,CNNM2
AARS2,CNNM3
AARS2,CNTLN
AARS2,CNTROB
AARS2,COBL
AARS2,COBLL1
AARS2,COCH
AARS2,COL14A1
AARS2,COL18A1
AARS2,COLEC12
AARS2,COQ6
AARS2,CORO7-PAM16
AARS2,COX16
AARS2,COX19
AARS2,COX2
AARS2,CPEB4
AARS2,CPNE8
AARS2,CRMP1
AARS2,CRYBG1
AARS2,CRYBG3
AARS2,CSNK1E
AARS2,CSNK1G2
AARS2,CSPG4
AARS2,CSPP1
AARS2,CSTF2T
AARS2,CTDSP1
AARS2,CTDSPL2
AARS2,CTIF
AARS2,CTNNAL1
AARS2,CTTNBP2NL
AARS2,CUEDC2
AARS2,CWC25
AARS2,CWF19L2
AARS2,CXADR
AARS2,CXorf57
AARS2,CYLD
AARS2,DAB2
AARS2,DAB2IP
AARS2,DACH1
AARS2,DAPK1
AARS2,DCBLD1
AARS2,DCDC2
AARS2,DCLK1
AARS2,DCLK2
AARS2,DCTN3
AARS2,DCTN6
AARS2,DCUN1D3
AARS2,DDX10
AARS2,DDX19B
AARS2,DDX51
AARS2,DDX52
AARS2,DECR2
AARS2,DENND1A
AARS2,DENND2C
AARS2,DENND4A
AARS2,DENND5A
AARS2,DENND5B
AARS2,DEPDC1
AARS2,DEPDC1B
AARS2,DES
AARS2,DGCR8
AARS2,DGKD
AARS2,DGKE
AARS2,DGKH
AARS2,DHRS1
AARS2,DHRS13
AARS2,DIP2A
AARS2,DIXDC1
AARS2,DLG5
AARS2,DLGAP4
AARS2,DLX6
AARS2,DMAP1
AARS2,DMTN
AARS2,DMXL2
AARS2,DNAAF2
AARS2,DNAH10
AARS2,DNAH5
AARS2,DNAJB14
AARS2,DNAJC14
AARS2,DNAJC16
AARS2,DNAJC25
AARS2,DNAJC30
AARS2,DNMT3A
AARS2,DOCK11
AARS2,DOCK4
AARS2,DOT1L
AARS2,DPF1
AARS2,DPY19L1
AARS2,DPY19L3
AARS2,DPYSL3
AARS2,DPYSL4
AARS2,DROSHA
AARS2,DSC2
AARS2,DSC3
AARS2,DTNA
AARS2,DTNB
AARS2,DTNBP1
AARS2,DVL1
AARS2,DVL2
AARS2,DVL3
AARS2,DZIP1
AARS2,DZIP3
AARS2,E2F3
AARS2,E2F6
AARS2,EAPP
AARS2,EBAG9
AARS2,EBPL
AARS2,EEPD1
AARS2,EFNB1
AARS2,EFNB2
AARS2,EFNB3
AARS2,EFR3A
AARS2,EGFR
AARS2,EHBP1
AARS2,EHHADH
AARS2,EHMT1
AARS2,EI24
AARS2,EIF2AK1
AARS2,EIF3CL
AARS2,ELF1
AARS2,ELF2
AARS2,ELMOD3
AARS2,ELMSAN1
AARS2,ELOA
AARS2,ELOVL2
AARS2,ELOVL4
AARS2,ELP6
AARS2,ENDOG
AARS2,EPAS1
AARS2,EPB41L3
AARS2,EPB41L4A
AARS2,EPB41L4B
AARS2,EPHA2
AARS2,EPHA3
AARS2,EPHA4
AARS2,EPHA7
AARS2,EPHB2
AARS2,EPHB3
AARS2,ERAP2
AARS2,ERBB4
AARS2,ERBIN
AARS2,ERC1
AARS2,ERC2
AARS2,ERCC6
AARS2,ERICH1
AARS2,ERICH5
AARS2,ERN1
AARS2,ERO1B
AARS2,ESS2
AARS2,ETAA1
AARS2,ETFRF1
AARS2,EVI5
AARS2,EVI5L
AARS2,EVL
AARS2,EXO1
AARS2,EXOC6
AARS2,EXPH5
AARS2,EYA4
AARS2,EZH2
AARS2,FAAP20
AARS2,FAM105A
AARS2,FAM107B
AARS2,FAM110B
AARS2,FAM122B
AARS2,FAM126A
AARS2,FAM135A
AARS2,FAM160A1
AARS2,FAM160A2
AARS2,FAM161A
AARS2,FAM171A1
AARS2,FAM171A2
AARS2,FAM171B
AARS2,FAM184A
AARS2,FAM184B
AARS2,FAM193A
AARS2,FAM207A
AARS2,FAM208A
AARS2,FAM219A
AARS2,FAM219B
AARS2,FAM234B
AARS2,FAM32A
AARS2,FAM76B
AARS2,FAM83B
AARS2,FAM83G
AARS2,FAM92A
AARS2,FAR2
AARS2,FARP1
AARS2,FARP2
AARS2,FASTKD3
AARS2,FASTKD5
AARS2,FBF1
AARS2,FBN2
AARS2,FBXL4
AARS2,FBXO17
AARS2,FBXO5
AARS2,FCGRT
AARS2,FGD1
AARS2,FGD4
AARS2,FGD6
AARS2,FGFR1OP
AARS2,FGFRL1
AARS2,FGR
AARS2,FILIP1
AARS2,FITM2
AARS2,FKBP14
AARS2,FLG2
AARS2,FLRT3
AARS2,FLYWCH1
AARS2,FMN2
AARS2,FMNL2
AARS2,FNDC3A
AARS2,FOLH1B
AARS2,FOPNL
AARS2,FOXC1
AARS2,FOXK2
AARS2,FOXO1
AARS2,FOXRED2
AARS2,FRAS1
AARS2,FREM2
AARS2,FRMD4B
AARS2,FRMD6
AARS2,FRMPD4
AARS2,FRS2
AARS2,FSD1
AARS2,FUNDC1
AARS2,FUNDC2
AARS2,FYCO1
AARS2,FYN
AARS2,FZD6
AARS2,GAB1
AARS2,GALNT14
AARS2,GAS2L3
AARS2,GAS8
AARS2,GBA2
AARS2,GCFC2
AARS2,GEN1
AARS2,GFAP
AARS2,GGA3
AARS2,GGCX
AARS2,GGT7
AARS2,GIGYF1
AARS2,GINM1
AARS2,GJA1
AARS2,GJC1
AARS2,GK
AARS2,GLI3
AARS2,GLUD2
AARS2,GMEB2
AARS2,GPAM
AARS2,GPAT3
AARS2,GPAT4
AARS2,GPATCH11
AARS2,GPATCH8
AARS2,GPBP1
AARS2,GPBP1L1
AARS2,GPR107
AARS2,GPR108
AARS2,GPR155
AARS2,GPR180
AARS2,GPR89A
AARS2,GPRASP2
AARS2,GPRC5A
AARS2,GPRC5C
AARS2,GPRIN1
AARS2,GPRIN3
AARS2,GRAMD1B
AARS2,GRAMD4
AARS2,GRINA
AARS2,GRIP1
AARS2,GRK2
AARS2,GTF2B
AARS2,GTF2E2
AARS2,GTSE1
AARS2,GUF1
AARS2,H2AFX
AARS2,H2AFZ
AARS2,H3F3A
AARS2,HABP4
AARS2,HACE1
AARS2,HAUS1
AARS2,HAUS2
AARS2,HAUS7
AARS2,HAUS8
AARS2,HCFC2
AARS2,HEG1
AARS2,HELLS
AARS2,HERPUD1
AARS2,HIP1
AARS2,HIRA
AARS2,HIST1H2AE
AARS2,HIST1H2AI
AARS2,HIST1H2BD
AARS2,HIST1H2BO
AARS2,HIST1H3A
AARS2,HIST1H3F
AARS2,HIST2H2AA4
AARS2,HIST2H2BF
AARS2,HIST2H3D
AARS2,HIVEP1
AARS2,HJURP
AARS2,HLA-A
AARS2,HLCS
AARS2,HMG20A
AARS2,HMGA2
AARS2,HMGCR
AARS2,HMGN2
AARS2,HMGXB4
AARS2,HMMR
AARS2,HNRNPA1L2
AARS2,HNRNPCL1
AARS2,HOOK1
AARS2,HOXA13
AARS2,HOXA5
AARS2,HOXB9
AARS2,HOXC13
AARS2,HOXC9
AARS2,HOXD13
AARS2,HSD17B11
AARS2,HSPA12A
AARS2,HSPA1A
AARS2,HSPA1B
AARS2,HTT
AARS2,ICE1
AARS2,ICE2
AARS2,IFFO1
AARS2,IFFO2
AARS2,IFIT2
AARS2,IFNGR1
AARS2,IFT172
AARS2,IFT20
AARS2,IFT57
AARS2,IFT81
AARS2,IGF1R
AARS2,IGF2BP1
AARS2,IGF2BP2
AARS2,IGF2BP3
AARS2,IKBIP
AARS2,ILDR2
AARS2,IMMP1L
AARS2,IMP3
AARS2,INA
AARS2,INCENP
AARS2,INPP5B
AARS2,INSR
AARS2,INTS12
AARS2,INTS6
AARS2,IP6K1
AARS2,IQCB1
AARS2,IQCC
AARS2,IQGAP2
AARS2,IQSEC2
AARS2,IRS2
AARS2,IRS4
AARS2,ISG20L2
AARS2,ITGA1
AARS2,ITGA4
AARS2,ITGA5
AARS2,ITGB5
AARS2,ITM2B
AARS2,ITM2C
AARS2,ITPKA
AARS2,ITPR1
AARS2,JADE3
AARS2,JAG1
AARS2,JAG2
AARS2,JAK1
AARS2,JAKMIP1
AARS2,JAM3
AARS2,JCAD
AARS2,JMJD1C
AARS2,JPH1
AARS2,JUN
AARS2,KALRN
AARS2,KANK1
AARS2,KANK2
AARS2,KANSL3
AARS2,KAT6A
AARS2,KATNA1
AARS2,KATNB1
AARS2,KBTBD6
AARS2,KBTBD7
AARS2,KCNB2
AARS2,KCNQ5
AARS2,KDELC1
AARS2,KDELR1
AARS2,KDELR2
AARS2,KDM2B
AARS2,KDM3A
AARS2,KIAA0040
AARS2,KIAA0355
AARS2,KIAA0586
AARS2,KIAA0753
AARS2,KIAA1107
AARS2,KIAA1191
AARS2,KIAA1211
AARS2,KIAA1328
AARS2,KIAA1549
AARS2,KIF13A
AARS2,KIF14
AARS2,KIF16B
AARS2,KIF18B
AARS2,KIF1B
AARS2,KIF1C
AARS2,KIF20A
AARS2,KIF20B
AARS2,KIF24
AARS2,KIF26B
AARS2,KIF2C
AARS2,KIF4B
AARS2,KIF5A
AARS2,KIF7
AARS2,KIRREL1
AARS2,KIZ
AARS2,KLHL11
AARS2,KMT2B
AARS2,KMT2C
AARS2,KNL1
AARS2,KNSTRN
AARS2,KPNA5
AARS2,KRIT1
AARS2,KRR1
AARS2,KRT19
AARS2,KRT6B
AARS2,KRT77
AARS2,KRT79
AARS2,KXD1
AARS2,L3MBTL2
AARS2,L3MBTL3
AARS2,LAMB1
AARS2,LAMC1
AARS2,LATS1
AARS2,LATS2
AARS2,LCA5
AARS2,LCK
AARS2,LCOR
AARS2,LIAS
AARS2,LIFR
AARS2,LIMCH1
AARS2,LIMD1
AARS2,LIN54
AARS2,LIN9
AARS2,LINGO1
AARS2,LMBR1
AARS2,LMF2
AARS2,LMO7
AARS2,LMTK2
AARS2,LOC441155
AARS2,LONP2
AARS2,LPCAT2
AARS2,LRIG2
AARS2,LRIG3
AARS2,LRP1
AARS2,LRP2
AARS2,LRP4
AARS2,LRP5
AARS2,LRP6
AARS2,LRP8
AARS2,LRRC1
AARS2,LRRC49
AARS2,LRRC4B
AARS2,LRRCC1
AARS2,LSM11
AARS2,LSM12
AARS2,LYN
AARS2,LYRM2
AARS2,LYSMD3
AARS2,LZTR1
AARS2,LZTS1
AARS2,LZTS2
AARS2,LZTS3
AARS2,MACO1
AARS2,MAD2L2
AARS2,MADD
AARS2,MAGI1
AARS2,MAGI3
AARS2,MAK16
AARS2,MALT1
AARS2,MAOA
AARS2,MAP2
AARS2,MAP2K5
AARS2,MAP3K21
AARS2,MAP3K9
AARS2,MAP4K3
AARS2,MAP4K4
AARS2,MAP7D2
AARS2,MAP7D3
AARS2,MAP9
AARS2,MAPRE2
AARS2,MAPRE3
AARS2,MARC1
AARS2,MARC2
AARS2,MARCH6
AARS2,MARF1
AARS2,MARK1
AARS2,MARVELD2
AARS2,MAST4
AARS2,MB21D2
AARS2,MBD1
AARS2,MBD4
AARS2,MBIP
AARS2,MBTPS1
AARS2,MCAM
AARS2,MCC
AARS2,MCM10
AARS2,MECOM
AARS2,MECP2
AARS2,MED1
AARS2,MED26
AARS2,MED29
AARS2,MEF2D
AARS2,MET
AARS2,METTL15
AARS2,METTL8
AARS2,MFAP1
AARS2,MFAP3L
AARS2,MFF
AARS2,MFSD12
AARS2,MFSD8
AARS2,MGA
AARS2,MIA2
AARS2,MIB1
AARS2,MIB2
AARS2,MICAL3
AARS2,MICALL1
AARS2,MICU2
AARS2,MICU3
AARS2,MIEF1
AARS2,MIEF2
AARS2,MIGA1
AARS2,MIGA2
AARS2,MIIP
AARS2,MINK1
AARS2,MIS18BP1
AARS2,MLLT1
AARS2,MLLT11
AARS2,MLLT3
AARS2,MLLT6
AARS2,MLX
AARS2,MMS22L
AARS2,MNX1
AARS2,MOB1B
AARS2,MOXD1
AARS2,MPDZ
AARS2,MPHOSPH6
AARS2,MPHOSPH9
AARS2,MPND
AARS2,MPP1
AARS2,MPP6
AARS2,MPRIP
AARS2,MRC2
AARS2,MRPL42
AARS2,MSANTD2
AARS2,MSL1
AARS2,MSL3
AARS2,MTA1
AARS2,MTCL1
AARS2,MTERF3
AARS2,MTF2
AARS2,MTFR1L
AARS2,MTFR2
AARS2,MTMR10
AARS2,MTMR4
AARS2,MTRF1L
AARS2,MTSS1L
AARS2,MTUS1
AARS2,MTX3
AARS2,MUL1
AARS2,MXRA7
AARS2,MYBL2
AARS2,MYO5A
AARS2,MYO5B
AARS2,MYO9A
AARS2,MYOF
AARS2,MYSM1
AARS2,MYT1
AARS2,N4BP2
AARS2,NANP
AARS2,NAV1
AARS2,NAV2
AARS2,NBEA
AARS2,NBR1
AARS2,NCAM1
AARS2,NCBP3
AARS2,NCKAP5
AARS2,NCKAP5L
AARS2,NCOA2
AARS2,NDC80
AARS2,NDEL1
AARS2,NDUFAF3
AARS2,NDUFV3
AARS2,NEBL
AARS2,NECTIN2
AARS2,NEFL
AARS2,NEK1
AARS2,NEK4
AARS2,NEMP1
AARS2,NEO1
AARS2,NEPRO
AARS2,NES
AARS2,NETO2
AARS2,NEURL4
AARS2,NEXN
AARS2,NF2
AARS2,NFIA
AARS2,NFIB
AARS2,NFRKB
AARS2,NFX1
AARS2,NGRN
AARS2,NHS
AARS2,NIN
AARS2,NIPAL3
AARS2,NKAPD1
AARS2,NLGN1
AARS2,NLGN2
AARS2,NME5
AARS2,NMT2
AARS2,NOC3L
AARS2,NOL7
AARS2,NOL8
AARS2,NOMO1
AARS2,NOMO2
AARS2,NOP53
AARS2,NOS1AP
AARS2,NOTCH1
AARS2,NPAT
AARS2,NR2C1
AARS2,NR2C2
AARS2,NR3C1
AARS2,NRP1
AARS2,NSD1
AARS2,NSD2
AARS2,NSL1
AARS2,NT5C3A
AARS2,NUDCD2
AARS2,NUMBL
AARS2,NUPL2
AARS2,NUS1
AARS2,NUSAP1
AARS2,NVL
AARS2,NYNRIN
AARS2,ODF2
AARS2,ODF2L
AARS2,OMA1
AARS2,OPA3
AARS2,ORMDL2
AARS2,OSBPL1A
AARS2,OSBPL3
AARS2,OSBPL6
AARS2,OSTM1
AARS2,OXCT1
AARS2,P3H3
AARS2,PAG1
AARS2,PAK6
AARS2,PALB2
AARS2,PALD1
AARS2,PALLD
AARS2,PALM
AARS2,PALM2
AARS2,PANX1
AARS2,PAPD5
AARS2,PAPD7
AARS2,PARD3B
AARS2,PARD6G
AARS2,PBRM1
AARS2,PCDH19
AARS2,PCDH7
AARS2,PCDH9
AARS2,PCDHGB1
AARS2,PCNX1
AARS2,PCNX3
AARS2,PCSK6
AARS2,PDE3B
AARS2,PDK2
AARS2,PDLIM3
AARS2,PDP1
AARS2,PDPR
AARS2,PDSS1
AARS2,PDZD8
AARS2,PDZRN3
AARS2,PEAK1
AARS2,PEG10
AARS2,PEX11A
AARS2,PEX12
AARS2,PEX13
AARS2,PGAM2
AARS2,PGS1
AARS2,PHC1
AARS2,PHF14
AARS2,PHF2
AARS2,PHF21A
AARS2,PHF3
AARS2,PHLDB1
AARS2,PHLDB3
AARS2,PHLPP1
AARS2,PHRF1
AARS2,PHYH
AARS2,PIAS1
AARS2,PIAS2
AARS2,PIAS4
AARS2,PIBF1
AARS2,PIGB
AARS2,PIGG
AARS2,PIGN
AARS2,PIGW
AARS2,PIK3AP1
AARS2,PIK3C2B
AARS2,PIK3C3
AARS2,PIK3CA
AARS2,PIK3R1
AARS2,PIK3R3
AARS2,PIKFYVE
AARS2,PINX1
AARS2,PJA2
AARS2,PKD2
AARS2,PKMYT1
AARS2,PKN3
AARS2,PLCB1
AARS2,PLCH1
AARS2,PLCL2
AARS2,PLD3
AARS2,PLD6
AARS2,PLEKHA3
AARS2,PLEKHA6
AARS2,PLEKHA8
AARS2,PLEKHG1
AARS2,PLEKHG3
AARS2,PLEKHH2
AARS2,PLEKHM1
