Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
RPS20,AKAP1_target,CYP2C1_sigseq,AKAP1_target,CYP2C1_sigseq,CYP2C1_sigseq,CYP2C1_sigseq,PDHA1,LRRC59_Cterm,CYP2C1_sigseq,AKAP1_target,RPS20,AKAP1_target,CYP2C1_sigseq,AKAP1_target,CYP2C1_sigseq,CYP2C1_sigseq,CYP2C1_sigseq,PDHA1,LRRC59_Cterm,COIL,AIFM1,RPS20,AKAP1_target,CYP2C1_sigseq,AKAP1_target,CYP2C1_sigseq,CYP2C1_sigseq,CYP2C1_sigseq,PDHA1,LRRC59_Cterm,COIL,AARS2
AKAP1_target,RPS20,HIST1H2BG,COIL,AKAP1_target,AKAP1_target,HIST1H2BG,CYP2C1_sigseq,CEP135,COIL,CAV1,AKAP1_target,RPS20,HIST1H2BG,COIL,AKAP1_target,AKAP1_target,HIST1H2BG,CYP2C1_sigseq,CEP135,HIST1H2BG,AKAP1_target,AKAP1_target,RPS20,HIST1H2BG,COIL,AKAP1_target,AKAP1_target,HIST1H2BG,CYP2C1_sigseq,CEP135,HIST1H2BG,ACTB
SFXN1,PDHA1,PDHA1,CYP2C1_sigseq,COIL,COIL,AKAP1_target,COIL,SFXN1,HIST1H2BG,CBX3,SFXN1,PDHA1,PDHA1,CYP2C1_sigseq,COIL,COIL,AKAP1_target,COIL,SFXN1,TERF2IP,ARF6,SFXN1,PDHA1,PDHA1,CYP2C1_sigseq,COIL,COIL,AKAP1_target,COIL,SFXN1,CYP2C1_sigseq,AIFM1
LRRC59_Cterm,CYP2C1_sigseq,KRAS_Q61H,TERF2IP,CBX3,TERF2IP,COIL,TERF2IP,RPS20,TERF2IP,CCDC14,LRRC59_Cterm,CYP2C1_sigseq,KRAS_Q61H,TERF2IP,CBX3,TERF2IP,COIL,TERF2IP,RPS20,CYP2C1_sigseq,ASF1A,LRRC59_Cterm,CYP2C1_sigseq,KRAS_Q61H,TERF2IP,CBX3,TERF2IP,COIL,TERF2IP,RPS20,TERF2IP,AKAP1
PDHA1,CS,CS,CBX3,HNRNPA1,CBX3,TERF2IP,KRAS_target,PDHA1,LRRC59_Cterm,CEP135,PDHA1,CS,CS,CBX3,HNRNPA1,CBX3,TERF2IP,KRAS_target,PDHA1,AKAP1_target,B3GAT1,PDHA1,CS,CS,CBX3,HNRNPA1,CBX3,TERF2IP,KRAS_target,PDHA1,RHOB,AKAP1_target
CYP2C1_sigseq,SFXN1,KRAS_target,HIST1H2BG,HIST1H2BG,HIST1H2BG,PDHA1,HIST1H2BG,TMPO,AKAP1_target,COIL,CYP2C1_sigseq,SFXN1,KRAS_target,HIST1H2BG,HIST1H2BG,HIST1H2BG,PDHA1,HIST1H2BG,TMPO,LRRC59_Cterm,CBX3,CYP2C1_sigseq,SFXN1,KRAS_target,HIST1H2BG,HIST1H2BG,HIST1H2BG,PDHA1,HIST1H2BG,TMPO,AKAP1_target,ANAPC2
CS,LRRC59_Cterm,SEC62,RPS20,TERF2IP,SYNE3_Nterm,KRAS_target,AKAP1_target,KRAS_target,SEC61B_Cterm,COX8A_target,CS,LRRC59_Cterm,SEC62,RPS20,TERF2IP,SYNE3_Nterm,KRAS_target,AKAP1_target,KRAS_target,RHOB,CD3EAP,CS,LRRC59_Cterm,SEC62,RPS20,TERF2IP,SYNE3_Nterm,KRAS_target,AKAP1_target,KRAS_target,KRAS_Q61H,APEX1
AARS2,AARS2,COX8A_target,SYNE3_Nterm,FBL,RPS20,RHOB,LRRC59_Cterm,SEC61B_Nterm,KRAS_Q61H,CYP2C1_sigseq,AARS2,AARS2,COX8A_target,SYNE3_Nterm,FBL,RPS20,RHOB,LRRC59_Cterm,SEC61B_Nterm,SEC61B_Cterm,CENPA,AARS2,AARS2,COX8A_target,SYNE3_Nterm,FBL,RPS20,RHOB,LRRC59_Cterm,SEC61B_Nterm,LRRC59_Cterm,ARF6
RPL31,RPL31,TERF2IP,DDX23,CD3EAP,FBL,RPS20,RHOB,SSR1,RHOB,DHX8,RPL31,RPL31,TERF2IP,DDX23,CD3EAP,FBL,RPS20,RHOB,SSR1,CD3EAP,CEP135,RPL31,RPL31,TERF2IP,DDX23,CD3EAP,FBL,RPS20,RHOB,SSR1,PDHA1,ASF1A
SEC61B_Cterm,HIST1H2BG,RAB9A,DCTN1,RPS20,HNRNPA1,CBX3,CEP135,RPL31,RAB11A,EMD,SEC61B_Cterm,HIST1H2BG,RAB9A,DCTN1,RPS20,HNRNPA1,CBX3,CEP135,RPL31,SYNE3_Nterm,CKAP4,SEC61B_Cterm,HIST1H2BG,RAB9A,DCTN1,RPS20,HNRNPA1,CBX3,CEP135,RPL31,SYNE3_Nterm,B3GAT1
HIST1H2BG,SEC61B_Cterm,CBX3,CD3EAP,SYNE3_Nterm,CD3EAP,SYNE3_Nterm,DHX8,ACTB,LAMTOR1_target_peptide,GOLGA1,HIST1H2BG,SEC61B_Cterm,CBX3,CD3EAP,SYNE3_Nterm,CD3EAP,SYNE3_Nterm,DHX8,ACTB,KRAS_Q61H,COIL,HIST1H2BG,SEC61B_Cterm,CBX3,CD3EAP,SYNE3_Nterm,CD3EAP,SYNE3_Nterm,DHX8,ACTB,SEC61B_Cterm,CALR3
COIL,COIL,ZNF330_target,MAPRE3,RHOB,B3GAT1,KRAS_Q61H,RAB11A,RAB11A,KRAS_target,HIST1H2BG,COIL,COIL,ZNF330_target,MAPRE3,RHOB,B3GAT1,KRAS_Q61H,RAB11A,RAB11A,RAB11A,COX4I1,COIL,COIL,ZNF330_target,MAPRE3,RHOB,B3GAT1,KRAS_Q61H,RAB11A,RAB11A,KRAS_target,CAV1
PDIA4,PDIA4,LAMTOR1_target_peptide,DHX8,PDHA1,MAPRE3,HNRNPA1,SYNE3_Nterm,CS,CD3EAP,KRAS_target,PDIA4,PDIA4,LAMTOR1_target_peptide,DHX8,PDHA1,MAPRE3,HNRNPA1,SYNE3_Nterm,CS,PDHA1,COX8A_target,PDIA4,PDIA4,LAMTOR1_target_peptide,DHX8,PDHA1,MAPRE3,HNRNPA1,SYNE3_Nterm,CS,COX8A_target,CBX3
CBX3,CBX3,CD3EAP,SV40_NLS,LAMTOR1_target_peptide,RHOB,SFXN1,OCLN,LAMP2,PDHA1,LAMP3,CBX3,CBX3,CD3EAP,SV40_NLS,LAMTOR1_target_peptide,RHOB,SFXN1,OCLN,LAMP2,PARP1,CS,CBX3,CBX3,CD3EAP,SV40_NLS,LAMTOR1_target_peptide,RHOB,SFXN1,OCLN,LAMP2,RAB11A,CD3EAP
DCTN1,RPS24,RHOB,B3GAT1,SFXN1,LAMTOR1_target_peptide,CS,KRAS_Q61H,OCLN,SV40_NLS,LMNA,DCTN1,RPS24,RHOB,B3GAT1,SFXN1,LAMTOR1_target_peptide,CS,KRAS_Q61H,OCLN,LAMTOR1_target_peptide,CYP2C1_sigseq,DCTN1,RPS24,RHOB,B3GAT1,SFXN1,LAMTOR1_target_peptide,CS,KRAS_Q61H,OCLN,AARS2,CENPA
COX8A_target,NIFK,AARS2,SFXN1,PARP1,KRAS_Q61H,RAB11A,RPS20,HNRNPA1,SYNE3_Nterm,MAPRE3,COX8A_target,NIFK,AARS2,SFXN1,PARP1,KRAS_Q61H,RAB11A,RPS20,HNRNPA1,AARS2,DCTN1,COX8A_target,NIFK,AARS2,SFXN1,PARP1,KRAS_Q61H,RAB11A,RPS20,HNRNPA1,CD3EAP,CEP135
TERF2IP,COX8A_target,LYN,FBL,CENPA,CENPA,LAMTOR1_target_peptide,HNRNPA1,ACTR1A,CBX3,MARCKS,TERF2IP,COX8A_target,LYN,FBL,CENPA,CENPA,LAMTOR1_target_peptide,HNRNPA1,ACTR1A,COX8A_target,DDX23,TERF2IP,COX8A_target,LYN,FBL,CENPA,CENPA,LAMTOR1_target_peptide,HNRNPA1,ACTR1A,LAMTOR1_target_peptide,CLTA
KRAS_target,SEC61B_Nterm,RAB35,OCLN,KRAS_Q61H,SV40_NLS,SV40_NLS,LAMTOR1_target_peptide,AKAP1_target,PARP1,NIFK,KRAS_target,SEC61B_Nterm,RAB35,OCLN,KRAS_Q61H,SV40_NLS,SV40_NLS,LAMTOR1_target_peptide,AKAP1_target,CENPA,DHX8,KRAS_target,SEC61B_Nterm,RAB35,OCLN,KRAS_Q61H,SV40_NLS,SV40_NLS,LAMTOR1_target_peptide,AKAP1_target,CENPA,COIL
NIFK,DCTN1,PARP1,KRAS_target,COX4I1,DCTN1,DDX23,RAB9A,CYP2C1_sigseq,RAB9A,OCLN,NIFK,DCTN1,PARP1,KRAS_target,COX4I1,DCTN1,DDX23,RAB9A,CYP2C1_sigseq,KRAS_target,GJA1,NIFK,DCTN1,PARP1,KRAS_target,COX4I1,DCTN1,DDX23,RAB9A,CYP2C1_sigseq,CS,COX4I1
RPS24,TERF2IP,SEC61B_Nterm,PDHA1,DDX23,DDX23,AARS2,DCTN1,PCM1,CENPA,PCM1,RPS24,TERF2IP,SEC61B_Nterm,PDHA1,DDX23,DDX23,AARS2,DCTN1,PCM1,DDX23,HIST1H2BG,RPS24,TERF2IP,SEC61B_Nterm,PDHA1,DDX23,DDX23,AARS2,DCTN1,PCM1,PARP1,COX8A_target
SYNE3_Cterm,SYNE3_Cterm,DDX23,RHOB,DCTN1,PDHA1,LAMP2,LAMP2,POLR2C,COX8A_target,RAB11A,SYNE3_Cterm,SYNE3_Cterm,DDX23,RHOB,DCTN1,PDHA1,LAMP2,LAMP2,POLR2C,B3GAT1,KRAS_Q61H,SYNE3_Cterm,SYNE3_Cterm,DDX23,RHOB,DCTN1,PDHA1,LAMP2,LAMP2,POLR2C,SV40_NLS,CS
HNRNPA1,SEC62,AKAP1_target,HNRNPA1,SV40_NLS,LAMP2,DHX8,SFXN1,DCTN1,AARS2,RPL31,HNRNPA1,SEC62,AKAP1_target,HNRNPA1,SV40_NLS,LAMP2,DHX8,SFXN1,DCTN1,CBX3,KRAS_target,HNRNPA1,SEC62,AKAP1_target,HNRNPA1,SV40_NLS,LAMP2,DHX8,SFXN1,DCTN1,RPL31,CTNNB1
