Prey,Primary_Component
AAAS,12
AAK1,8
AAR2,15
AARS2,5
AASDH,10
AASS,4
AATF,7
ABCA3,13
ABCB1,14
ABCB10,4
ABCB7,12
ABCC1,1
ABCC4,13
ABCC5,1
ABCD1,12
ABCD3,12
ABCE1,9
ABCF2,2
ABCF3,19
ABHD10,4
ABHD12,5
ABI1,1
ABI2,1
ABL2,1
ABLIM1,8
ABR,1
ABRAXAS1,9
ACAA1,9
ACAD11,9
ACAD9,4
ACADM,4
ACADSB,4
ACADVL,4
ACAP2,1
ACAT1,4
ACBD3,2
ACBD4,12
ACBD5,12
ACIN1,15
ACO2,4
ACOT1,4
ACOT2,4
ACOT7,11
ACOT8,9
ACOT9,4
ACOX1,9
ACSF3,4
ACSL3,13
ACSL4,12
ACSS1,4
ACTA1,1
ACTA2,9
ACTB,5
ACTBL2,16
ACTC1,16
ACTG1,16
ACTL6A,3
ACTN1,19
ACTN4,8
ACTR10,16
ACTR2,8
ADAM17,13
ADAM22,1
ADAM9,1
ADAR,7
ADCK2,17
ADCY3,1
ADCY6,1
ADCY9,2
ADD1,1
ADD2,18
ADD3,1
ADGRL1,1
ADGRL2,1
ADIPOR1,1
ADIPOR2,13
ADNP,20
ADNP2,20
ADPGK,5
AFDN,18
AFF4,11
AFG3L2,4
AFTPH,14
AGAP1,1
AGAP3,1
AGFG1,14
AGFG2,8
AGGF1,11
AGK,17
AGO2,8
AGPAT1,13
AGPAT3,13
AGTPBP1,11
AHCTF1,3
AHCYL1,18
AHCYL2,1
AHNAK2,14
AHSA1,11
AIF1L,16
AIFM1,17
AIFM2,2
AIP,19
AK2,17
AK3,4
AK4,4
AKAP1,17
AKAP10,14
AKAP11,2
AKAP12,1
AKAP13,1
AKAP17A,15
AKAP2,8
AKAP5,1
AKAP8,15
AKAP8L,12
AKAP9,9
AKT2,1
ALAS1,4
ALCAM,1
ALDH18A1,4
ALDH1A2,8
ALDH1B1,4
ALDH1L2,4
ALDH2,4
ALDH3A2,2
ALDH3B1,8
ALDH7A1,4
ALDH9A1,4
ALG13,19
ALG3,13
ALG5,1
ALG9,13
ALKBH4,16
ALKBH5,3
ALMS1,8
ALYREF,3
AMER1,8
AMIGO2,1
AMOT,8
AMOTL1,8
ANAPC1,8
ANAPC4,9
ANAPC5,9
ANGEL2,4
