,Median
GA,1.1073471018946066
Random,1.0588125256478484
chi_2,1.0951201948462521
f_classif,1.1447212405097336
mutual_info_classif,1.2312122983998859
lasso,1.0386551782072018
ridge,1.0209724578616002
elastic_net,1.027923933032453
rf,1.0507236399674933
gbm,1.0144357764653695
xgb,0.946124513975426
nn,1.1477428266683822
