Method,Median Value
Mutual Info,0.6475990719406294
Neural Network,0.6647869827340004
GENBAIT,0.763150982759861
Ridge,0.648369410836378
ElasticNet,0.6602887087865321
Chi-Squared,0.6938433876212531
Lasso,0.680369759923062
ANOVA F,0.6744288231205442
XGB,0.6594139490154001
Random,0.46315557773517946
RF,0.6890569452327708
GBM,0.6672788315591607
