Method,Bait_Length,Component,NMF_Correlation
Chi2,30,6,0.2181366763840627
Chi2,30,8,-0.06996953269958459
Chi2,30,9,-0.04870062404527025
Chi2,30,14,0.1299188340392688
Chi2,30,15,0.3705638374438627
Chi2,30,19,0.06957494808705722
F_classif,30,6,0.19375142401092607
F_classif,30,8,0.05912945269763124
F_classif,30,9,-0.0552964431789245
F_classif,30,14,0.1379948316751765
F_classif,30,15,-0.0491859894488896
F_classif,30,19,0.07794451827190703
Mutual_Info,30,5,-0.02462055214218601
Mutual_Info,30,9,-0.04620765218158233
Mutual_Info,30,15,0.034592824073200766
Mutual_Info,30,16,-0.0023012763566496804
Mutual_Info,30,17,-0.037021308647713684
Mutual_Info,30,19,-0.04871299539122461
Lasso,30,9,-0.04616513526541694
Lasso,30,19,0.09664830030430666
Lasso,30,20,-0.07173900090854046
Ridge,30,2,0.024228570058246895
Ridge,30,9,-0.060826856117855606
Ridge,30,18,0.45833181052391686
Ridge,30,19,0.10533968880315828
Elastic_Net,30,9,-0.04629978592510538
Elastic_Net,30,18,0.49053948520429835
Elastic_Net,30,19,0.0967475708308375
Random_Forest,30,9,-0.054332053347994506
Random_Forest,30,16,0.003202587241114552
Random_Forest,30,19,0.09682334976320212
Gradient_Boosting,30,2,0.028560858186927166
Gradient_Boosting,30,9,-0.04793890897810754
Gradient_Boosting,30,20,-0.02828305040987446
XGBoost,30,3,-0.037059209290769696
XGBoost,30,8,0.07719166278461272
XGBoost,30,11,0.032707557969620105
XGBoost,30,20,-0.05985779600225916
Neural_Network,30,16,-0.0023602519944478603
Neural_Network,30,17,-0.04547720532411681
GENBAIT,30,8,0.07791908202703625
GENBAIT,30,9,0.11841198589889998
Chi2,60,9,-0.06107025218701634
Chi2,60,19,0.0966692896959195
F_classif,60,8,-0.009499442147993588
F_classif,60,9,-0.050400596684182224
F_classif,60,19,0.09667599070073868
Mutual_Info,60,9,-0.04948515765782914
Mutual_Info,60,19,-0.04826707484931416
Lasso,60,9,-0.04952784558944441
Lasso,60,19,0.0952658375322114
Ridge,60,16,-0.03802628885557102
Ridge,60,18,0.4886183020666023
Elastic_Net,60,19,0.10758927736147962
Random_Forest,60,9,-0.030575723187476013
Random_Forest,60,16,0.0014449043821757237
Gradient_Boosting,60,13,0.02181138997201168
Gradient_Boosting,60,16,-0.03809988714660018
XGBoost,60,18,0.4685882205448512
XGBoost,60,19,0.12916841444889934
Neural_Network,60,9,-0.049309317214033914
Neural_Network,60,19,-0.048530624313266144
Chi2,90,9,-0.04961215901345843
Chi2,90,19,0.10604600964106117
F_classif,90,9,-0.049298073403433916
F_classif,90,19,-0.04835446269136406
Mutual_Info,90,9,-0.04939291290649984
Mutual_Info,90,19,-0.04930132078636134
Lasso,90,9,-0.04901424429488565
Lasso,90,19,0.1814777891251199
Ridge,90,9,-0.049326534868337844
Ridge,90,19,0.18956977725394616
Elastic_Net,90,9,-0.0493235676470352
Elastic_Net,90,19,0.181046251949581
Random_Forest,90,9,-0.050665187656186696
Random_Forest,90,19,0.18186339828649423
Gradient_Boosting,90,9,-0.0482100874565245
Gradient_Boosting,90,17,-0.030784594875520082
Gradient_Boosting,90,18,0.39578463219432114
XGBoost,90,16,0.0065845341212326484
XGBoost,90,17,-0.03030202980756388
Neural_Network,90,9,-0.050685108295570665
