Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
LRRC59_Cterm,PDHA1,CYP2C1_sigseq,SYNE3_Nterm,COIL,SYNE3_Nterm,CYP2C1_sigseq,PDHA1,TMPO,HIST1H2BG,AKAP1_target,LRRC59_Cterm,PDHA1,CYP2C1_sigseq,SYNE3_Nterm,COIL,SYNE3_Nterm,CYP2C1_sigseq,PDHA1,TMPO,HIST1H2BG,AARS2,LRRC59_Cterm,PDHA1,CYP2C1_sigseq,SYNE3_Nterm,COIL,SYNE3_Nterm,CYP2C1_sigseq,PDHA1,TMPO,HIST1H2BG,AARS2
PDHA1,LRRC59_Cterm,KRAS_target,RAB11A,SYNE3_Nterm,COIL,HIST1H2BG,HIST1H2BG,LRRC59_Cterm,CYP2C1_sigseq,CBX3,PDHA1,LRRC59_Cterm,KRAS_target,RAB11A,SYNE3_Nterm,COIL,HIST1H2BG,HIST1H2BG,LRRC59_Cterm,CYP2C1_sigseq,AIFM1,PDHA1,LRRC59_Cterm,KRAS_target,RAB11A,SYNE3_Nterm,COIL,HIST1H2BG,HIST1H2BG,LRRC59_Cterm,CYP2C1_sigseq,AIFM1
CYP2C1_sigseq,CYP2C1_sigseq,HIST1H2BG,AKAP1_target,CYP2C1_sigseq,CYP2C1_sigseq,TERF2IP,KRAS_target,PDHA1,SYNE3_Nterm,CS,CYP2C1_sigseq,CYP2C1_sigseq,HIST1H2BG,AKAP1_target,CYP2C1_sigseq,CYP2C1_sigseq,TERF2IP,KRAS_target,PDHA1,TERF2IP,AKAP1,CYP2C1_sigseq,CYP2C1_sigseq,HIST1H2BG,AKAP1_target,CYP2C1_sigseq,CYP2C1_sigseq,TERF2IP,KRAS_target,PDHA1,TERF2IP,AKAP1_target
CS,CS,RHOB,RHOB,RHOB,AKAP1_target,AKAP1_target,CYP2C1_sigseq,SFXN1,TERF2IP,CYP2C1_sigseq,CS,CS,RHOB,RHOB,RHOB,AKAP1_target,AKAP1_target,CYP2C1_sigseq,SFXN1,COIL,AKAP1_target,CS,CS,RHOB,RHOB,RHOB,AKAP1_target,AKAP1_target,CYP2C1_sigseq,SFXN1,KRAS_target,APEX1
AARS2,RAB11A,RAB11A,COIL,AKAP1_target,RAB11A,COIL,TERF2IP,RPS20,ZNF330_target,DCTN1,AARS2,RAB11A,RAB11A,COIL,AKAP1_target,RAB11A,COIL,TERF2IP,RPS20,KRAS_target,APEX1,AARS2,RAB11A,RAB11A,COIL,AKAP1_target,RAB11A,COIL,TERF2IP,RPS20,RHOB,ASF1A
RPS20,AARS2,COIL,CYP2C1_sigseq,CD3EAP,DDX23,PDHA1,SYNE3_Nterm,KRAS_target,AKAP1_target,DDX23,RPS20,AARS2,COIL,CYP2C1_sigseq,CD3EAP,DDX23,PDHA1,SYNE3_Nterm,KRAS_target,RHOB,C11orf52,RPS20,AARS2,COIL,CYP2C1_sigseq,CD3EAP,DDX23,PDHA1,SYNE3_Nterm,KRAS_target,COIL,B3GAT1
SEC61B_Cterm,SEC61B_Cterm,PDHA1,DDX23,CBX3,RHOB,KRAS_target,COIL,SEC61B_Nterm,KRAS_target,GJA1,SEC61B_Cterm,SEC61B_Cterm,PDHA1,DDX23,CBX3,RHOB,KRAS_target,COIL,SEC61B_Nterm,SYNE3_Nterm,CALR3,SEC61B_Cterm,SEC61B_Cterm,PDHA1,DDX23,CBX3,RHOB,KRAS_target,COIL,SEC61B_Nterm,AKAP1_target,C11orf52
RAB11A,KRAS_target,TERF2IP,TERF2IP,RAB11A,CD3EAP,RAB11A,AKAP1_target,RPS24,KRAS_Q61H,HIST1H2BG,RAB11A,KRAS_target,TERF2IP,TERF2IP,RAB11A,CD3EAP,RAB11A,AKAP1_target,RPS24,KRAS_Q61H,CBX3,RAB11A,KRAS_target,TERF2IP,TERF2IP,RAB11A,CD3EAP,RAB11A,AKAP1_target,RPS24,KRAS_Q61H,CALR3
RPL31,PDIA4,KRAS_Q61H,DHX8,TERF2IP,TERF2IP,SYNE3_Nterm,DHX8,OCLN,COIL,KRAS_Q61H,RPL31,PDIA4,KRAS_Q61H,DHX8,TERF2IP,TERF2IP,SYNE3_Nterm,DHX8,OCLN,AKAP1_target,CD3EAP,RPL31,PDIA4,KRAS_Q61H,DHX8,TERF2IP,TERF2IP,SYNE3_Nterm,DHX8,OCLN,ZNF330_target,CAV1
KRAS_target,RPL31,CS,PCM1,KRAS_Q61H,DHX8,RHOB,OCLN,HNRNPA1,RHOB,LAMTOR1_target_peptide,KRAS_target,RPL31,CS,PCM1,KRAS_Q61H,DHX8,RHOB,OCLN,HNRNPA1,SV40_NLS,CENPA,KRAS_target,RPL31,CS,PCM1,KRAS_Q61H,DHX8,RHOB,OCLN,HNRNPA1,SYNE3_Nterm,CBX3
