Method,Bait_Length,Component,NMF_Correlation
Chi2,30,1,0.8395693490364247
Chi2,30,2,0.9468504235827018
Chi2,30,3,0.9546361746482773
Chi2,30,4,0.9494530189839946
Chi2,30,5,0.9979790237239897
Chi2,30,6,0.2181366763840627
Chi2,30,7,0.917737234773911
Chi2,30,8,-0.06996953269958459
Chi2,30,9,-0.04870062404527025
Chi2,30,10,0.9340099860900134
Chi2,30,11,0.9341332545255814
Chi2,30,12,0.9936288962603582
Chi2,30,13,0.9876405508280779
Chi2,30,14,0.1299188340392688
Chi2,30,15,0.3705638374438627
Chi2,30,16,0.9350656746492629
Chi2,30,17,0.93241223173548
Chi2,30,18,0.8444536318240307
Chi2,30,19,0.06957494808705722
Chi2,30,20,0.9952034081595624
F_classif,30,1,0.8409066791324671
F_classif,30,2,0.9567640378584782
F_classif,30,3,0.9546275292371484
F_classif,30,4,0.9494503594074464
F_classif,30,5,0.9979777812348682
F_classif,30,6,0.19375142401092607
F_classif,30,7,0.8906510766367144
F_classif,30,8,0.05912945269763124
F_classif,30,9,-0.0552964431789245
F_classif,30,10,0.9340102641221181
F_classif,30,11,0.9340962656980858
F_classif,30,12,0.9936258162329412
F_classif,30,13,0.9877059692767036
F_classif,30,14,0.1379948316751765
F_classif,30,15,-0.0491859894488896
F_classif,30,16,0.7408475189769709
F_classif,30,17,0.932419978179112
F_classif,30,18,0.9143372425616727
F_classif,30,19,0.07794451827190703
F_classif,30,20,0.9952028240209911
Mutual_Info,30,1,0.8409548224285104
Mutual_Info,30,2,0.9410397110151327
Mutual_Info,30,3,0.9546266861479333
Mutual_Info,30,4,0.9998713484682648
Mutual_Info,30,5,-0.02462055214218601
Mutual_Info,30,6,0.7716992288924261
Mutual_Info,30,7,0.5328219273944507
Mutual_Info,30,8,0.9493289749631619
Mutual_Info,30,9,-0.04620765218158233
Mutual_Info,30,10,0.9340094111035373
Mutual_Info,30,11,0.577574136379418
Mutual_Info,30,12,0.9936235961886182
Mutual_Info,30,13,0.9915207047342819
Mutual_Info,30,14,0.9583934917061053
Mutual_Info,30,15,0.034592824073200766
Mutual_Info,30,16,-0.0023012763566496804
Mutual_Info,30,17,-0.037021308647713684
Mutual_Info,30,18,0.9159461672031477
Mutual_Info,30,19,-0.04871299539122461
Mutual_Info,30,20,0.9952028850204507
Lasso,30,1,0.789835457444406
Lasso,30,2,0.5692785937969637
Lasso,30,3,0.9432386239913844
Lasso,30,4,0.957653035860323
Lasso,30,5,0.8578253570480111
Lasso,30,6,0.772270188437085
Lasso,30,7,0.9112497161281474
Lasso,30,8,0.9492678339036305
Lasso,30,9,-0.04616513526541694
Lasso,30,10,0.984994015404175
Lasso,30,11,0.9720425167020809
Lasso,30,12,0.993628808770099
Lasso,30,13,0.9875383333683174
Lasso,30,14,0.958357970394944
Lasso,30,15,0.9510994169746377
Lasso,30,16,0.9611486987951154
Lasso,30,17,0.9523397718460938
Lasso,30,18,0.6820515691793544
Lasso,30,19,0.09664830030430666
Lasso,30,20,-0.07173900090854046
Ridge,30,1,0.7898675429974011
Ridge,30,2,0.024228570058246895
Ridge,30,3,0.9596708928393616
Ridge,30,4,0.8804662587864149
Ridge,30,5,0.8578268472368313
Ridge,30,6,0.9456258783012301
Ridge,30,7,0.9293532355575268
Ridge,30,8,0.9472610837267991
Ridge,30,9,-0.060826856117855606
Ridge,30,10,0.9940268987768822
Ridge,30,11,0.945859987653095
Ridge,30,12,0.9936291400396997
Ridge,30,13,0.9856491862578819
Ridge,30,14,0.9587808968225234
Ridge,30,15,0.8433512390395318
Ridge,30,16,0.9318221687584721
Ridge,30,17,0.9524440936177647
Ridge,30,18,0.45833181052391686
Ridge,30,19,0.10533968880315828
Ridge,30,20,0.9953188944463731
Elastic_Net,30,1,0.7910927856855703
Elastic_Net,30,2,0.5470437794624675
Elastic_Net,30,3,0.9778265648344867
Elastic_Net,30,4,0.8804661040013757
Elastic_Net,30,5,0.8578257088139742
Elastic_Net,30,6,0.9292008545652399
Elastic_Net,30,7,0.9056588275239755
Elastic_Net,30,8,0.9490230721649794
Elastic_Net,30,9,-0.04629978592510538
Elastic_Net,30,10,0.9980405081251184
Elastic_Net,30,11,0.9723849041447067
Elastic_Net,30,12,0.9936289493083098
Elastic_Net,30,13,0.9876161844300291
Elastic_Net,30,14,0.9589350019615637
Elastic_Net,30,15,0.8449259619453533
Elastic_Net,30,16,0.9349253566815537
Elastic_Net,30,17,0.9524465553577894
Elastic_Net,30,18,0.49053948520429835
Elastic_Net,30,19,0.0967475708308375
Elastic_Net,30,20,0.9965565529920333
Random_Forest,30,1,0.8401035182986671
Random_Forest,30,2,0.8021246808208009
Random_Forest,30,3,0.9547916114987224
Random_Forest,30,4,0.985577515951664
Random_Forest,30,5,0.9685828269269047
Random_Forest,30,6,0.9452913132515413
Random_Forest,30,7,0.9209669502298605
Random_Forest,30,8,0.9484610703007278
Random_Forest,30,9,-0.054332053347994506
Random_Forest,30,10,0.9341338495683317
Random_Forest,30,11,0.9540960918312416
Random_Forest,30,12,0.9936344106489443
Random_Forest,30,13,0.9870261975556371
Random_Forest,30,14,0.9596340293604395
Random_Forest,30,15,0.9509675482666934
Random_Forest,30,16,0.003202587241114552
Random_Forest,30,17,0.9322997908968733
Random_Forest,30,18,0.5484447105338128
Random_Forest,30,19,0.09682334976320212
Random_Forest,30,20,0.9953579812944946
Gradient_Boosting,30,1,0.8397691257914126
Gradient_Boosting,30,2,0.028560858186927166
Gradient_Boosting,30,3,0.9545984088697782
Gradient_Boosting,30,4,0.9576765925428844
Gradient_Boosting,30,5,0.9344738380813816
Gradient_Boosting,30,6,0.8629682034251578
Gradient_Boosting,30,7,0.934519104922493
Gradient_Boosting,30,8,0.949139178473418
Gradient_Boosting,30,9,-0.04793890897810754
Gradient_Boosting,30,10,0.9853656916748209
Gradient_Boosting,30,11,0.9373482910235316
Gradient_Boosting,30,12,0.9936303218968277
Gradient_Boosting,30,13,0.9730435742878395
Gradient_Boosting,30,14,0.96031932696917
Gradient_Boosting,30,15,0.9504832603050583
Gradient_Boosting,30,16,0.9433194824567488
Gradient_Boosting,30,17,0.9322640833408681
Gradient_Boosting,30,18,0.6538273449905372
Gradient_Boosting,30,19,0.9394236089736885
Gradient_Boosting,30,20,-0.02828305040987446
XGBoost,30,1,0.8396679145353001
XGBoost,30,2,0.9216844636697803
XGBoost,30,3,-0.037059209290769696
XGBoost,30,4,0.9576450120713448
XGBoost,30,5,0.984459952243331
XGBoost,30,6,0.8732862649937904
XGBoost,30,7,0.7263537408001837
XGBoost,30,8,0.07719166278461272
XGBoost,30,9,0.902857712601997
XGBoost,30,10,0.9341896155131931
XGBoost,30,11,0.032707557969620105
XGBoost,30,12,0.9936896575651786
XGBoost,30,13,0.9874319058057259
XGBoost,30,14,0.9603532146495738
XGBoost,30,15,0.8104083809873452
XGBoost,30,16,0.7409934467567684
XGBoost,30,17,0.9323442269327107
XGBoost,30,18,0.8497525535837231
XGBoost,30,19,0.9388677645561415
XGBoost,30,20,-0.05985779600225916
Neural_Network,30,1,0.7039096334312154
Neural_Network,30,2,0.8710147967348466
Neural_Network,30,3,0.9577633861977118
Neural_Network,30,4,0.9973994255793193
Neural_Network,30,5,0.8577723140027455
Neural_Network,30,6,0.9388252648374931
Neural_Network,30,7,0.5211292946212647
Neural_Network,30,8,0.9493092198807458
Neural_Network,30,9,0.8746040341715533
Neural_Network,30,10,0.9765242358668572
Neural_Network,30,11,0.9344146260091082
Neural_Network,30,12,0.9936409665000345
Neural_Network,30,13,0.9874187620329863
Neural_Network,30,14,0.9594110898200819
Neural_Network,30,15,0.8430576754521316
Neural_Network,30,16,-0.0023602519944478603
Neural_Network,30,17,-0.04547720532411681
Neural_Network,30,18,0.6803484690448102
Neural_Network,30,19,0.9388535130623752
Neural_Network,30,20,0.9955622961601526
GENBAIT,30,1,0.8406919803268309
GENBAIT,30,2,0.7401911578164451
GENBAIT,30,3,0.6277282555585214
GENBAIT,30,4,0.8902050815470862
GENBAIT,30,5,0.934435606010234
GENBAIT,30,6,0.7722806342187583
GENBAIT,30,7,0.7586536853683479
GENBAIT,30,8,0.07791908202703625
GENBAIT,30,9,0.11841198589889998
GENBAIT,30,10,0.9841349058587953
GENBAIT,30,11,0.9364656387969348
GENBAIT,30,12,0.993814366029064
GENBAIT,30,13,0.6181144676637388
GENBAIT,30,14,0.629621961175721
GENBAIT,30,15,0.8129987854001371
GENBAIT,30,16,0.7357826594396593
GENBAIT,30,17,0.9873595802752196
GENBAIT,30,18,0.9150107254358741
GENBAIT,30,19,0.9388342690869608
