CellLine,ExpressionCorrWithHEK293,MeanNMFScore
HeLa,0.8431470112276983,0.8214536039631825
LNCaP,0.7949189606029585,0.8415076674758033
U2-OS,0.8170656349602212,0.8362180552801131
MCF-7,0.8393031393414863,0.8212316400504048
GaMG,0.8096349115404945,0.8168777869244369
SW-620,0.8063498406310908,0.8193358406428932
A-375,0.7782457992339497,0.8248824619677592
A-549,0.824974565433099,0.8376016916199024
K-562,0.8276362313451249,0.819121861210245
Jurkat,0.8001595665573581,0.8323895783557755
