Method,Median Value
XGB,-0.03715394691012105
Neural Network,-0.04024199053662845
Chi-Squared,-0.040914036869555435
ElasticNet,-0.03825652339660161
RF,-0.037911493652638115
Ridge,-0.04231013138775512
Random,-0.04918872588702328
Lasso,-0.03753429008253345
GBM,-0.03632158687701431
Mutual Info,-0.04434179148887287
GENBAIT,0.9525798226099217
ANOVA F,-0.041737378364243544
