Method,Median Value
GA,0.6804983689305678
nn,0.6785831514040602
rf,0.6938400562553374
gbm,0.6798887401239185
xgb,0.6558983528441267
lasso,0.6824376161102688
ridge,0.6670761867606286
elastic_net,0.6763389146465898
mutual_info_classif,0.6592424688088191
f_classif,0.6739803941126518
chi_2,0.6878053408553825
Random,0.5058596987244838
