Method,Median Value
ridge,97.06184710351378
gbm,96.95091862079043
elastic_net,96.75281247717146
rf,96.26492073927972
lasso,96.09419059098546
xgb,95.54775732339834
nn,94.24380433194536
GA,93.51926729490833
chi_2,93.4880606691504
f_classif,91.89661406969098
mutual_info_classif,91.77507944334866
Random,84.62816403681788
