,Median
GA,1.115951119525406
Random,1.431650919090092
chi_2,1.1467144462623302
f_classif,1.1502726577537734
mutual_info_classif,1.1319708954831265
lasso,1.101333827992897
ridge,1.0818552630522347
elastic_net,1.0884414831771112
rf,1.0873814860043476
gbm,1.0891755974410327
xgb,1.151097754851231
nn,1.0919253590889622
