method,bait_length,runtime_seconds
Chi2,30,0.0
Chi2,60,0.005191485087076823
Chi2,90,0.009230852127075195
Elastic_Net,30,2.6208674907684326
Elastic_Net,60,2.6050658226013184
Elastic_Net,90,2.6189400355021157
F_classif,30,0.0
F_classif,60,0.005207061767578125
F_classif,90,0.0013587474822998047
GENBAIT,30,207.85238377253214
GENBAIT,60,1084.8127410411835
GENBAIT,90,4039.5182724793754
Gradient_Boosting,30,20.404896179835003
Gradient_Boosting,60,20.445349136988323
Gradient_Boosting,90,20.325193405151367
Lasso,30,3.676214059193929
Lasso,60,3.6796046098073325
Lasso,90,3.660147190093994
Mutual_Information,30,2.3223541577657065
Mutual_Information,60,2.296994606653849
Mutual_Information,90,2.2927544911702475
Neural_Network,30,71.010724623998
Neural_Network,60,70.07967027028401
Neural_Network,90,69.56914869944255
Random_Forest,30,0.4794054826100667
Random_Forest,60,0.4785565535227458
Random_Forest,90,0.4677140712738037
Ridge,30,1.1754957834879558
Ridge,60,1.1750601927439372
Ridge,90,1.1746443907419841
XGBoost,30,1.420306921005249
XGBoost,60,1.3813248475392659
XGBoost,90,1.3828513622283936
