Method,Bait_Length,Component,NMF_Correlation
Chi2,30,11,0.003854813874657895
Chi2,30,15,-0.06752878756162167
Chi2,30,18,-0.06259354267979897
Chi2,30,19,0.24049400403222837
F_classif,30,9,0.03266027645872249
F_classif,30,11,0.004185073678312206
F_classif,30,15,-0.03414483276436519
F_classif,30,18,0.025782971684297665
Mutual_Info,30,11,0.06836937535924371
Mutual_Info,30,15,0.02276576395157779
Mutual_Info,30,18,-0.06487380393814131
Lasso,30,3,0.4217104603433676
Lasso,30,5,-0.01960746609592913
Lasso,30,7,-0.03888255490588671
Lasso,30,11,0.360559583028579
Lasso,30,19,0.2567681380320876
Ridge,30,3,0.451302643645735
Ridge,30,5,-0.049645798821923125
Ridge,30,11,0.0023760753155434955
Ridge,30,19,0.3926518938485979
Elastic_Net,30,3,0.48728863574736536
Elastic_Net,30,5,0.01758694962316184
Elastic_Net,30,11,0.004168814142913006
Elastic_Net,30,13,0.4218784007541291
Elastic_Net,30,19,0.31102675074728475
Random_Forest,30,3,0.45261995922434767
Random_Forest,30,5,-0.02899556313561494
Random_Forest,30,11,0.24172496578122424
Random_Forest,30,18,0.4523662768754014
Gradient_Boosting,30,5,-0.02592909983409485
Gradient_Boosting,30,7,-0.05584218004873818
Gradient_Boosting,30,15,0.0389157398342819
Gradient_Boosting,30,18,0.45161034065114763
XGBoost,30,1,0.07630358313384777
XGBoost,30,5,0.3761556504335536
XGBoost,30,12,-0.03326153138350109
XGBoost,30,18,0.3021325732150397
XGBoost,30,19,-0.07631406950814283
Neural_Network,30,3,0.449568637147864
Neural_Network,30,5,-0.02495827290601285
Neural_Network,30,11,0.00017075781005618116
Neural_Network,30,15,0.02707810155127929
GENBAIT,30,17,0.3943435913699768
Chi2,60,18,-0.06842072208027633
F_classif,60,11,0.02493721247864403
F_classif,60,15,-0.027301599807166444
F_classif,60,18,0.20901135863632425
Mutual_Info,60,15,-0.06497650700892108
Mutual_Info,60,18,0.14481915218965485
Lasso,60,5,-0.01935677403440926
Lasso,60,7,-0.046830177332547414
Lasso,60,19,0.24391704821345098
Ridge,60,5,-0.020009550031579268
Ridge,60,13,0.04183458017896114
Elastic_Net,60,5,-0.019502351339077798
Random_Forest,60,5,-0.020037763036246988
Gradient_Boosting,60,5,-0.050173556248592585
Gradient_Boosting,60,7,-0.04186081902495555
Gradient_Boosting,60,14,0.025639413735218622
Gradient_Boosting,60,18,0.48667976412920044
XGBoost,60,5,-0.0580777390991371
XGBoost,60,13,0.010656641913926302
XGBoost,60,18,0.4814604411786872
Neural_Network,60,5,0.16579502116409556
Neural_Network,60,11,0.003283327754919798
Neural_Network,60,15,0.02879700777715989
F_classif,90,5,-0.023817157638175553
F_classif,90,13,0.028649699889170904
Mutual_Info,90,5,-0.023558695545422885
Mutual_Info,90,15,0.03126503077261611
Lasso,90,5,-0.020730214053476036
Ridge,90,5,-0.02307302112244766
Ridge,90,19,0.3878412251132658
Elastic_Net,90,5,-0.0216149622336137
Elastic_Net,90,19,0.3957038254090143
Random_Forest,90,5,-0.02584732559890435
Gradient_Boosting,90,5,-0.0221921741927541
XGBoost,90,5,-0.02432634381231041
Neural_Network,90,5,-0.024440418113343017
Neural_Network,90,13,-0.016266081958978332
