,NMF ARI,Mean NMF Cosine similarity,Mean NMF KL divergence,Mean NMF GO Jaccard index,Min NMF purity score,Min NMF Cosine similarity,Max NMF KL divergence,Min NMF GO Jaccard index,Remaining preys percentage,GO terms retrieval percentage,Mean GMM  Pearson correlation,GMM ARI,Leiden ARI,Overall Score
GENBAIT,1.0,1.0,0.9838534117642821,1.0,1.0,1.0,1.0,1.0,0.6611668748833279,0.5876696093994151,0.9970042083531444,1.0,0.8140431314503924,1.0
Random,0.0,0.0,0.0,0.0,0.008491065767492255,0.0,0.0015322459941655227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi-Squared,0.7395944918624056,0.81023083010379,0.8144653639570443,0.6059404255850723,0.016323565249520895,0.01094123352297756,0.07373089072523088,0.0534430999189891,0.5681791606919762,0.48565301746145184,0.8567661632558046,0.747081199309228,0.9770378660931788,0.5608712354765423
ANOVA F,0.6608347993111477,0.7513375252522528,0.7568577233776976,0.5191643459370452,0.00785549203263063,0.007893528399971714,0.02916671384696587,0.01165930728777263,0.47467244339686654,0.3540896558766467,0.8321247172240082,0.828063447186292,0.8691971702437581,0.5063186308106209
Mutual Info,0.6498556375060708,0.737789978423169,0.7784544579440537,0.5244206683289369,0.008972908467985513,0.005715741289083157,0.0,0.03982913415113869,0.5032340252690922,0.3647503318697027,0.8853264578150887,0.8934953367344582,0.7855307040595763,0.5125061231305315
Lasso,0.709529203023367,0.8650567473792004,0.9704067117234507,0.7725992550453427,0.0013692447345385228,0.009618518966675494,0.17888702228306258,0.2775614581933835,0.9226418693958446,0.898233432043296,0.9380078992483383,0.6505011211968933,0.9887817466884912,0.6791893981956225
Ridge,0.5990194776038503,0.7443545814382996,0.9202695500206952,0.6512615035248308,0.002648412766865699,0.012481958371627121,0.1414062014975265,0.18004644230717104,1.0,1.0,0.8293092587497723,0.5126798871545133,0.7146590131855713,0.6064722014248498
ElasticNet,0.6431496233291958,0.805328582455022,0.9494601519281637,0.7109181748789009,0.000864151456027308,0.011340063957842737,0.16666609169417335,0.21795540531445015,0.9730815860570756,0.9649954048810384,0.878876081600582,0.549492808905158,0.8665492433311365,0.6422501072221775
RF,0.7854752663416947,0.8980684544704739,1.0,0.8294270835203265,7.987954635546544e-05,0.0068718825085203215,0.15932554447504543,0.26794530735426964,0.9070656220959933,0.8996834473603578,0.9525198874089281,0.7622207363566523,1.0,0.7029134856483954
GBM,0.7154499165042336,0.8418501742543806,0.9337895440916308,0.7853744751743069,0.0,0.007177710513228397,0.17384006517612707,0.25290370110629057,0.9506003409419601,0.9746349433268662,0.954872959471395,0.6316066335618832,0.8674372436079434,0.6714065538648996
XGB,0.6599974876240917,0.6712903283159366,0.7337879195194529,0.6352396845962139,8.327867598761292e-05,0.0021511449956258762,0.1162341315521718,0.1683680173735565,0.8443852274895234,0.8440314510364542,0.6826241338729727,0.3596288300537709,0.7361891139147577,0.5354944847375326
Neural Network,0.7808587605751858,0.8483384138583907,0.9490156246380842,0.7339268589456845,0.012361208461840075,0.01796437345511592,0.13445981349061611,0.1876455396454306,0.7130671852594926,0.5889308689880528,1.0,0.9676769776783675,0.8835385817177643,0.6488238746745434
