method,bait_length,runtime_seconds
Chi2,30,0.0014065901438395183
Chi2,60,0.0015159447987874348
Chi2,90,0.0009415944417317709
Elastic_Net,30,0.5896646976470947
Elastic_Net,60,0.5933543046315511
Elastic_Net,90,0.6138906478881836
F_classif,30,0.002830982208251953
F_classif,60,0.002839326858520508
F_classif,90,0.0022531350453694663
GENBAIT,30,361.01294501622516
GENBAIT,60,2151.684979915619
GENBAIT,90,4926.710532108943
Gradient_Boosting,30,6.785541693369548
Gradient_Boosting,60,6.858760277430217
Gradient_Boosting,90,6.9832362333933515
Lasso,30,0.8799389203389486
Lasso,60,0.882368008295695
Lasso,90,0.9145112037658691
Mutual_Information,30,0.8543481032053629
Mutual_Information,60,0.8598243395487467
Mutual_Information,90,0.9010224342346191
Neural_Network,30,14.710807085037231
Neural_Network,60,14.447559038798014
Neural_Network,90,14.558010737101236
Random_Forest,30,0.15710552533467612
Random_Forest,60,0.15777873992919922
Random_Forest,90,0.16506576538085938
Ridge,30,0.26374133427937824
Ridge,60,0.2658812999725342
Ridge,90,0.2768542766571045
XGBoost,30,1.0099713802337646
XGBoost,60,1.0980439186096191
XGBoost,90,0.9979163010915121
