Prey,Primary_Component
AAAS,4
AASDH,9
AATF,2
ABCE1,18
ABCF3,6
ABHD12,4
ACBD3,4
ACBD5,4
ACLY,3
ACSL3,4
ACTL6A,7
ADAR,2
ADARB1,2
ADCY9,4
ADNP2,10
AFF1,18
AFF4,13
AFG3L2,11
AGFG1,7
AGGF1,11
AGO2,8
AHCTF1,14
AHCYL1,19
AHDC1,3
AHR,7
AIP,18
AKAP11,6
AKAP17A,1
AKAP8,3
AKAP8L,3
AKAP9,18
ALDH3A2,4
ALDH9A1,18
ALG13,6
ALKBH5,1
ALMS1,8
ALYREF,1
ANGEL2,1
ANKHD1,6
ANKLE2,4
ANKRD11,19
ANLN,9
ANO10,4
ANO6,4
ANO8,4
ANP32E,16
AP2S1,18
AP3M1,12
AP5B1,18
APBB1,4
APC,9
API5,1
AQR,11
ARFGAP3,4
ARHGAP1,4
ARHGAP11A,17
ARHGAP19,15
ARHGAP32,8
ARID1A,7
ARID1B,3
ARID2,7
ARID3A,10
ARID3B,10
ARID4B,17
ARID5B,10
ARK2N,15
ARL6IP5,4
ARNT,3
ASCC2,11
ASH1L,10
ASPM,9
ASXL2,9
ASXL3,10
ATAD2,17
ATAD2B,17
ATF3,10
ATF6,4
ATF7IP,15
ATL1,4
ATN1,7
ATP13A1,4
ATP1A1,3
ATP2A2,4
ATP5F1B,11
ATP6AP2,14
ATP6V1A,6
ATXN1L,10
ATXN2,6
AUP1,4
AURKB,12
BAHCC1,7
BARD1,12
BAZ2B,10
BBS7,18
BCAP31,4
BCCIP,14
BCL11A,10
BCL11B,10
BCL7A,9
BCL7C,9
BCL9,3
BCL9L,3
BCLAF1,1
BCLAF3,1
BCOR,10
BCORL1,10
BCR,11
BDP1,9
BEND3,15
BET1,4
BICC1,6
BICRA,7
BLM,15
BMI1,18
BMS1,16
BOP1,2
BRCA1,9
BRCA2,8
BRD1,12
BRD2,17
BRD3,17
BRD7,7
BRD8,9
BRD9,7
BRF1,12
BRIX1,2
BRWD1,17
BTAF1,9
BTN3A3,4
BUB1,15
BUD13,1
BUD31,17
BYSL,11
C10orf12,17
C11orf58,17
C12orf43,16
C15orf39,3
C17orf49,9
C18orf21,2
C19orf47,1
C1orf131,2
C1orf226,18
C1orf35,1
C1orf43,4
C2CD2L,4
C2CD3,8
C2orf49,1
C9orf78,13
CAAP1,1
CABLES1,19
CACTIN,1
CACUL1,9
CACYBP,18
CALR,16
CALU,16
CAMLG,4
CAMSAP3,8
CANX,16
CAPRIN1,6
CARD10,8
CASC3,6
CASP8AP2,11
CASZ1,10
CAV1,15
CBLB,18
CBLL1,3
CBX1,15
CBX2,17
CBX3,15
CBX4,18
CBX5,15
CBX6,18
CBX8,18
CCAR1,3
CCAR2,5
CCDC124,2
CCDC137,2
CCDC138,8
CCDC14,8
CCDC174,9
CCDC18,8
CCDC47,4
CCDC59,2
CCDC71,15
CCDC71L,17
CCDC77,4
CCDC86,2
CCDC88A,6
CCNB2,4
CCNK,3
CCNT1,13
CCP110,8
CCT2,2
CDC40,3
CDC5L,11
CDC73,1
CDCA3,4
CDCA5,9
CDCA8,17
CDK11B,1
CDK12,1
CDK13,3
CDK5RAP2,11
CDK5RAP3,4
CDKAL1,4
CDKN2AIP,3
CDT1,15
CDV3,6
CDYL,12
CEBPZ,2
CECR2,7
CELF1,5
CELF2,3
CENPC,16
CENPJ,8
CENPQ,2
CENPT,17
CEP128,8
CEP131,8
CEP152,8
CEP164,8
CEP192,8
CEP295,8
CEP350,8
CEP55,8
CEP72,8
CEP85,8
CEP97,8
CETN3,15
CFDP1,13
CGN,6
CHAF1A,12
CHD1,19
CHD2,1
CHD6,18
CHD7,10
CHD9,18
CHERP,3
CHMP7,4
CHTOP,12
CIC,10
CIR1,1
CISD2,4
CIZ1,18
CKAP4,4
CLASRP,1
CLCC1,4
CLCN7,14
CLK2,1
CLK3,1
CLP1,3
CLSPN,12
CLUH,18
CMSS1,2
CNDP2,18
CNOT1,6
CNOT10,6
CNOT11,6
CNOT2,6
CNOT3,6
CNTROB,8
COIL,16
COPA,4
COPB2,4
COPG1,4
COPRS,11
CPD,4
CPEB1,6
CPEB4,6
CPSF1,3
CPSF2,3
CPSF4,1
CPSF6,3
CPSF7,3
CREBBP,7
CRTC2,3
CRTC3,3
CSDE1,6
CSE1L,9
CSNK1A1,1
CSNK2B,4
CSPP1,8
CSTF2,3
CSTF2T,3
CSTF3,3
CTBP2,10
CTCF,17
CTNNBIP1,14
CTNNBL1,11
CTR9,19
CUEDC2,6
CUX1,10
CWC15,13
CWC22,1
CWC25,1
CWC27,13
CWF19L1,9
CWF19L2,1
CYB5A,4
CYFIP1,18
CYLD,8
CYP51A1,4
DACH1,10
DAXX,15
DAZAP1,3
DCAF13,2
DCAF5,9
DCLRE1A,18
DCP1B,8
DDOST,16
DDRGK1,4
DDX1,6
DDX10,16
DDX17,3
DDX18,2
DDX20,11
DDX21,16
DDX23,1
DDX24,2
DDX27,2
DDX31,2
DDX39A,12
DDX39B,12
DDX41,1
DDX42,13
DDX46,13
DDX47,3
DDX49,16
DDX5,3
DDX50,1
DDX52,2
DDX54,2
DDX55,2
DDX56,2
DDX6,6
DEAF1,10
DEK,17
DGCR8,3
DHCR7,4
DHRS13,4
DHRS7,4
DHX15,1
DHX16,13
DHX33,2
DHX36,1
DHX37,2
DHX38,1
DHX40,3
DHX57,6
DHX8,1
DIS3,9
DKC1,16
DLX2,3
DMXL1,18
DNAJA2,18
DNAJB1,9
DNAJB11,16
DNAJC1,4
DNAJC10,16
DNAJC16,4
DNAJC3,16
DNAJC7,11
DNAJC8,17
DNAJC9,9
DNM1L,4
DNMT1,3
DOP1B,11
DOT1L,7
DPF1,7
DPF2,7
DR1,17
DROSHA,3
DSC2,4
DST,8
DTL,9
DUSP12,2
DZIP3,6
E2F6,10
EAF2,2
EBAG9,4
EBNA1BP2,2
ECT2,9
EDF1,6
EFL1,2
EFR3A,18
EFR3B,6
EFTUD2,11
EHMT1,15
EHMT2,15
EIF2A,6
EIF2AK3,4
EIF2S1,3
EIF2S3,18
EIF3A,6
EIF3B,2
EIF3I,18
EIF4A3,1
EIF4E2,6
EIF4ENIF1,6
EIF4G2,6
EIF4H,1
ELAVL1,5
ELL,19
ELL2,18
ELOA,19
EMC1,16
EMC7,4
EMC8,4
EMD,14
EME1,17
EMG1,2
EMSY,10
ENTR1,8
EP300,7
EP400,15
EPC1,10
EPS8,18
ERAP2,16
ERCC1,9
ERCC4,3
ERG,10
ERH,19
ERICH1,16
ERP29,16
ESCO2,12
ESF1,16
ESRP2,3
ESS2,3
ESYT1,4
ESYT2,4
ETFA,11
ETV6,10
EWSR1,3
EXPH5,8
EYA3,12
FAF2,4
FAM118A,18
FAM120A,6
FAM120C,6
FAM135A,15
FAM169A,14
FAM171A2,18
FAM171B,11
FAM172A,1
FAM204A,2
FAM50A,13
FAM76B,15
FAM83H,8
FARSA,6
FBRS,3
FBRSL1,3
FIGN,7
FIGNL1,9
FIP1L1,3
FKBP10,16
FKBP8,4
FLI1,7
FLII,9
FLYWCH1,17
FLYWCH2,17
FMR1,6
FNBP4,11
FNDC3A,4
FNDC3B,6
FOXC1,10
FOXJ3,7
FOXK1,10
FOXK2,19
FOXM1,18
FOXP1,10
FOXP4,10
FRG1,2
FRS2,18
FTO,18
FTSJ3,2
FUBP1,3
FUBP3,3
FUS,3
FXR2,6
FYTTD1,1
G3BP1,6
G3BP2,6
GABPA,12
GANAB,16
GAR1,16
GARRE1,8
GATA4,7
GATAD2A,10
GBA2,4
GCFC2,9
GDI1,6
GEMIN2,11
GEMIN4,11
GEMIN5,11
GEMIN6,11
GEMIN8,11
GGA2,4
GGT7,4
GIGYF1,8
GIGYF2,11
GKAP1,6
GLE1,6
GLMN,6
GMEB2,18
GMNN,15
GMPS,15
GNAS,18
GNB1,18
GNL3,2
GNL3L,2
GOLGA2,4
GOLGA3,4
GOLGA5,4
GON4L,9
GOPC,4
GORASP2,4
GOSR2,4
GPALPP1,19
GPAT3,4
GPAT4,4
GPATCH1,13
GPATCH11,9
GPATCH4,16
GPATCH8,19
GPBP1,6
GPBP1L1,6
GPKOW,13
GPX1,15
GPX4,6
GRAMD1A,8
GRAMD1B,4
GRAMD4,4
GRSF1,6
GSE1,10
GSK3A,18
GTF2B,1
GTF2E1,17
GTF2F1,16
GTF3C1,19
GTF3C3,18
GTPBP4,2
GTSE1,15
H1-10,17
H2BC3,14
H2BC5,12
HABP4,6
HAT1,12
HAUS8,7
HDAC3,5
HDGF,17
HDGFL2,19
HEATR1,16
HECTD1,11
HELZ,6
HERC1,6
HEXIM1,19
HIRA,15
HIRIP3,12
HJURP,2
HLTF,1
HM13,4
HMCES,13
HMG20A,12
HMGA1,14
HMGB1,19
HMGB3,12
HMGXB4,19
HMOX2,4
HNRNPA0,5
HNRNPA1,3
HNRNPA2B1,5
HNRNPA3,3
HNRNPAB,5
HNRNPC,5
HNRNPD,5
HNRNPDL,3
HNRNPF,5
HNRNPH1,3
HNRNPH3,3
HNRNPK,5
HNRNPL,5
HNRNPM,3
HNRNPR,5
HNRNPU,5
HNRNPUL1,3
HNRNPUL2,3
HOMEZ,15
HOXA10,17
HOXA13,3
HOXA5,10
HOXB9,10
HOXC11,7
HOXC9,10
HOXD13,10
HSD17B4,18
HSF1,9
HSF2,15
HSP90B1,16
HSPA2,15
HSPA8,15
HUWE1,19
HYOU1,16
IARS2,11
IBTK,6
ICE1,9
ICE2,11
IGF2BP1,6
IGF2BP2,6
IGF2BP3,6
IGF2R,4
IK,13
IKBIP,16
ILF2,2
ILF3,5
ILKAP,13
IMP3,2
INCENP,17
INF2,4
INO80,19
INO80D,9
INTS1,17
INTS12,12
INTS13,9
INTS4,9
INTS9,9
IPO11,9
IPO5,15
IPO7,11
IPO8,11
IPO9,11
IQCB1,6
IQCC,8
IQCN,7
IRF2BP1,7
IRF2BP2,10
ISG20L2,2
ITGB1,4
ITPR1,4
ITPR2,4
ITPR3,4
ITPRID2,4
IWS1,17
JADE3,17
JMJD1C,10
JPH1,4
JUN,7
JUNB,10
KANK2,8
KAT6A,3
KAT7,18
KBTBD6,14
KBTBD7,9
KCNB2,4
KDM1A,9
KDM2A,10
KDM2B,10
KDM3A,13
KDM4B,18
KDM5A,17
KDM5C,15
KDM6A,10
KDM6B,3
KHDC4,3
KHDRBS1,3
KHDRBS2,5
KHDRBS3,6
KHSRP,3
KIAA0753,8
KIAA1191,18
KIAA1671,8
KIF18B,12
KIF1B,6
KIF1C,6
KIF20A,9
KIF22,17
KIF23,17
KIF7,8
KIFC1,17
KIN,1
KLHL11,14
KLHL26,18
KLHL9,4
KMT2A,10
KMT2C,10
KMT2D,10
KNOP1,2
KPNA1,9
KPNA2,9
KPNA3,18
KPNA6,9
KPNB1,8
KRI1,2
KRR1,2
KTN1,4
L3MBTL2,18
L3MBTL3,10
LAMB1,16
LARP1B,6
LARP4,6
LARP4B,6
LARP7,1
LAS1L,2
LATS1,8
LATS2,8
LBR,14
LCOR,17
LCORL,10
LDB1,7
LEMD3,14
LENG8,3
LEO1,17
LIG3,17
LIMD1,8
LIN54,10
LMAN1,4
LMNA,14
LMNB1,14
LMNB2,14
LNPEP,15
LNPK,4
LPCAT1,4
LRIF1,18
LRIG2,4
LRIG3,4
LRPAP1,16
LRRC47,11
LRRC59,4
LRWD1,12
LSG1,4
LSM10,11
LSM11,11
LSM12,6
LSM14A,6
LSM14B,6
LSM2,11
LSM3,11
LSM4,6
LSM6,11
LSM8,11
LTN1,2
LTV1,2
LUC7L,1
LUC7L2,1
LUC7L3,1
LYAR,2
LYPLA2,9
LZTS2,8
MACO1,4
MACROH2A1,17
MAD2L2,18
MAGED1,6
MAGOH,9
MAK16,2
MAML1,3
MAMLD1,3
MAP3K20,6
MARF1,6
MARK2,14
MASTL,9
MATR3,5
MAX,9
MB21D2,5
MBD1,17
MBD2,15
MBD3,15
MBNL1,5
MCM10,2
MCM2,2
MCM3AP,14
MCMBP,9
MCRIP2,6
MCRS1,9
MECOM,10
MECP2,12
MED12,9
MED15,9
MED26,19
MED27,9
MED8,2
MEPCE,13
METTL3,9
MEX3A,6
MEX3D,6
MFAP1,1
MGA,15
MIA3,8
MIB2,3
MIDEAS,10
MIS18BP1,18
MKRN2,6
MLF2,3
MLH1,12
MLLT1,17
MLLT10,7
MLLT3,13
MLLT6,7
MMGT1,4
MMS19,2
MNAT1,9
MNX1,17
MORC2,17
MORC3,15
MORC4,3
MOSPD2,4
MOV10,6
MPHOSPH10,2
MPHOSPH8,9
MPHOSPH9,8
MPP1,9
MRPS31,11
MSANTD2,12
MSI2,6
MSN,17
MSRB3,9
MTA2,15
MXRA7,4
MYBBP1A,2
MYBL2,10
MYEF2,5
MYPOP,2
N4BP1,15
N4BP2,8
NAA15,19
NACC1,9
NAF1,16
NAP1L1,11
NAP1L4,11
NAT10,16
NAV1,8
NBAS,4
NBN,15
NBR1,8
NCAPD3,3
NCAPG2,9
NCBP2,9
NCBP3,1
NCK2,11
NCKAP5L,8
NCKIPSD,6
NCL,16
NCLN,6
NCOA1,7
NCOA2,3
NCOA3,3
NCOA5,3
NCOA6,10
NCOR1,10
NCOR2,10
NDC1,4
NDUFAF4,11
NDUFS1,15
NECTIN2,3
NEDD1,8
NEK4,6
NELFA,18
NELFB,12
NELFCD,18
NELFE,1
NENF,16
NEPRO,2
NFAT5,9
NFATC2IP,15
NFIA,17
NFIB,10
NFIC,10
NFRKB,10
