Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
RPS20_NBF,FLI1_CBF,EMD_NBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,HNRNPK_CBF,FLI1_CBF,AFDN_NBF,RPS20_NBF,FLI1_CBF,EMD_NBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,HNRNPK_CBF,FLI1_CBF,AFDN_NBF,RPS20_NBF,FLI1_CBF,EMD_NBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,HNRNPK_CBF,EMD_NBF,AFDN_NBF
SYNE3_NBF,RPS20_NBF,FLI1_CBF,RPS20_NBF,SARNP_CBF,RPS20_NBF,EMD_NBF,EMD_NBF,FLI1_CBF,EMD_NBF,CBX2_CBF,SYNE3_NBF,RPS20_NBF,FLI1_CBF,RPS20_NBF,SARNP_CBF,RPS20_NBF,EMD_NBF,EMD_NBF,FLI1_CBF,EMD_NBF,BMI1_CBF,SYNE3_NBF,RPS20_NBF,FLI1_CBF,RPS20_NBF,SARNP_CBF,RPS20_NBF,EMD_NBF,EMD_NBF,FLI1_CBF,FLI1_CBF,ATRX_NBF
EMD_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,MAK16_CBF,SARNP_CBF,CELF1_NBF,EMD_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,MAK16_CBF,SYNE3_NBF,CBX2_CBF,EMD_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,MAK16_CBF,SARNP_CBF,CBX2_CBF
FLI1_CBF,EMD_NBF,DDX23_NBF,NOP56_CBF,EMD_NBF,PARP1_CBF,RPS20_NBF,SRSF4_CBF,EMD_NBF,SYNE3_NBF,COIL_NBF,FLI1_CBF,EMD_NBF,DDX23_NBF,NOP56_CBF,EMD_NBF,PARP1_CBF,RPS20_NBF,SRSF4_CBF,EMD_NBF,PARP1_CBF,COIL_NBF,FLI1_CBF,EMD_NBF,DDX23_NBF,NOP56_CBF,EMD_NBF,PARP1_CBF,RPS20_NBF,SRSF4_CBF,EMD_NBF,SYNE3_NBF,COIL_NBF
NOP56_CBF,NOP56_CBF,NOP56_CBF,DDX23_NBF,PARP1_CBF,SARNP_CBF,NOP56_CBF,MAK16_CBF,SYNE3_NBF,PARP1_CBF,DCPS_CBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,DDX23_NBF,PARP1_CBF,SARNP_CBF,NOP56_CBF,MAK16_CBF,SYNE3_NBF,SS18L1_CBF,CPSF6_CBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,DDX23_NBF,PARP1_CBF,SARNP_CBF,NOP56_CBF,MAK16_CBF,SYNE3_NBF,FUBP3_NBF,CPSF6_CBF
SRSF4_CBF,SRSF4_CBF,SARNP_CBF,LMNA_NBF,RPS20_NBF,FUBP3_NBF,SARNP_CBF,RPS20_NBF,RPS20_NBF,SS18L1_CBF,EIF4A3_CBF,SRSF4_CBF,SRSF4_CBF,SARNP_CBF,LMNA_NBF,RPS20_NBF,FUBP3_NBF,SARNP_CBF,RPS20_NBF,RPS20_NBF,SARNP_CBF,CPSF6_NBF,SRSF4_CBF,SRSF4_CBF,SARNP_CBF,LMNA_NBF,RPS20_NBF,FUBP3_NBF,SARNP_CBF,RPS20_NBF,RPS20_NBF,PARP1_CBF,CPSF6_NBF
MAK16_CBF,MAK16_CBF,SRSF1_CBF,SARNP_CBF,FUBP3_NBF,DDX23_NBF,DCPS_CBF,PARP1_CBF,SRSF4_CBF,SRSF4_CBF,EMD_NBF,MAK16_CBF,MAK16_CBF,SRSF1_CBF,SARNP_CBF,FUBP3_NBF,DDX23_NBF,DCPS_CBF,PARP1_CBF,SRSF4_CBF,SS18L1_NBF,DCPS_CBF,MAK16_CBF,MAK16_CBF,SRSF1_CBF,SARNP_CBF,FUBP3_NBF,DDX23_NBF,DCPS_CBF,PARP1_CBF,SRSF4_CBF,SS18L1_CBF,DAZAP1_CBF
SURF6_CBF,HNRNPA1_CBF,FUBP3_NBF,PARP1_CBF,NOP56_CBF,EMD_NBF,PARP1_CBF,LMNA_NBF,SP100_CBF,DCPS_CBF,EWSR1_NBF,SURF6_CBF,HNRNPA1_CBF,FUBP3_NBF,PARP1_CBF,NOP56_CBF,EMD_NBF,PARP1_CBF,LMNA_NBF,SP100_CBF,FUBP3_NBF,DDX23_NBF,SURF6_CBF,HNRNPA1_CBF,FUBP3_NBF,PARP1_CBF,NOP56_CBF,EMD_NBF,PARP1_CBF,LMNA_NBF,SP100_CBF,SS18L1_NBF,DCPS_CBF
FUBP3_NBF,LMNA_NBF,PARP1_CBF,COIL_NBF,DCPS_CBF,LMNA_NBF,LMNA_NBF,DCPS_CBF,FUBP3_NBF,DDX23_NBF,FLI1_CBF,FUBP3_NBF,LMNA_NBF,PARP1_CBF,COIL_NBF,DCPS_CBF,LMNA_NBF,LMNA_NBF,DCPS_CBF,FUBP3_NBF,DCPS_CBF,EIF4A3_CBF,FUBP3_NBF,LMNA_NBF,PARP1_CBF,COIL_NBF,DCPS_CBF,LMNA_NBF,LMNA_NBF,DCPS_CBF,FUBP3_NBF,DCPS_CBF,DDX23_NBF
LMNA_NBF,EWSR1_CBF,SS18L1_NBF,EMD_NBF,DDX23_NBF,NOP56_CBF,SRSF4_CBF,HNRNPK_CBF,HIPK2_NBF,FUBP3_NBF,GNL2_CBF,LMNA_NBF,EWSR1_CBF,SS18L1_NBF,EMD_NBF,DDX23_NBF,NOP56_CBF,SRSF4_CBF,HNRNPK_CBF,HIPK2_NBF,SRSF4_CBF,EMD_NBF,LMNA_NBF,EWSR1_CBF,SS18L1_NBF,EMD_NBF,DDX23_NBF,NOP56_CBF,SRSF4_CBF,HNRNPK_CBF,HIPK2_NBF,SRSF4_CBF,EIF4A3_CBF
