Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
,,,,,,,,,,,ILF3_CBF,HNRNPUL1_CBF,TERF2IP_CBF,DKC1_CBF,PHAX_NBF,NELFB_NBF,EWSR1_CBF,CPSF6_CBF,CDKN2AIP_CBF,NGDN_NBF,SS18L1_NBF,ILF3_CBF,HNRNPUL1_CBF,TERF2IP_CBF,DKC1_CBF,PHAX_NBF,NELFB_NBF,EWSR1_CBF,CPSF6_CBF,CDKN2AIP_CBF,LUC7L2_CBF,PTBP1_CBF
,,,,,,,,,,,FUS_NBF,SFPQ_NBF,PARP1_CBF,COIL_NBF,RIOK1_CBF,SURF6_CBF,LUC7L2_CBF,NCL_NBF,BMI1_CBF,LUC7L2_CBF,SUMO1_NBF,FUS_NBF,SFPQ_NBF,PARP1_CBF,COIL_NBF,RIOK1_CBF,SURF6_CBF,LUC7L2_CBF,NCL_NBF,BMI1_CBF,PSPC1_NBF,RBM14_NBF
,,,,,,,,,,,RPS24_NBF,DDX23_NBF,ESRP1_CBF,SRSF5_CBF,NSMF_CBF,LSM4_NBF,HNRNPM_CBF,COIL_NBF,EIF6_NBF,CELF1_NBF,SURF6_CBF,RPS24_NBF,DDX23_NBF,ESRP1_CBF,SRSF5_CBF,NSMF_CBF,LSM4_NBF,HNRNPM_CBF,COIL_NBF,EIF6_NBF,HNRNPUL1_CBF,RBM45_CBF
,,,,,,,,,,,NGDN_CBF,NGDN_CBF,NGDN_NBF,TRIM22_CBF,ZC3H11A_CBF,TMPO_NBF,SRSF7_CBF,RPS6_NBF,SRSF7_CBF,NUP50_NBF,SYNE3_NBF,NGDN_CBF,NGDN_CBF,NGDN_NBF,TRIM22_CBF,ZC3H11A_CBF,TMPO_NBF,SRSF7_CBF,RPS6_NBF,SRSF7_CBF,KHDRBS3_CBF,RNF40_CBF
,,,,,,,,,,,ESRP1_CBF,SNRPN_CBF,RPS24_NBF,RPS24_NBF,AFDN_NBF,RIOK1_CBF,HNRNPL_NBF,NELFB_NBF,PHAX_NBF,CPSF6_NBF,USP7_NBF,ESRP1_CBF,SNRPN_CBF,RPS24_NBF,RPS24_NBF,AFDN_NBF,RIOK1_CBF,HNRNPL_NBF,NELFB_NBF,PHAX_NBF,CELF1_NBF,RNPS1_CBF
,,,,,,,,,,,,,,,,,,,,,,NUP50_NBF,RPS24_NBF,RPS6_NBF,NONO_NBF,INO80E_CBF,SNRPN_CBF,NXT1_CBF,SRRM4_NBF,QKI_CBF,QKI_CBF,RNPS1_NBF
,,,,,,,,,,,,,,,,,,,,,,SP100_CBF,PSPC1_NBF,GAR1_CBF,HNRNPK_CBF,SRSF5_CBF,NSMF_CBF,EIF6_NBF,TRIM22_CBF,NUP50_NBF,HNRNPK_CBF,RPS24_NBF
,,,,,,,,,,,,,,,,,,,,,,NGDN_NBF,CPSF6_NBF,SNRPN_NBF,HSF1_CBF,RPS6_NBF,SRSF7_CBF,HNRNPA1_CBF,NXT1_CBF,TP53_CBF,LSM10_CBF,RPS6_NBF
,,,,,,,,,,,,,,,,,,,,,,PML_CBF,SNRPN_NBF,SLBP_NBF,DDX23_NBF,FAM118B_CBF,PML_NBF,NUP155_NBF,MFAP1_CBF,HNRNPR_iso1_CBF,CPSF6_NBF,SARNP_CBF
,,,,,,,,,,,,,,,,,,,,,,LSM4_NBF,FBL_NBF,PSPC1_NBF,AFDN_NBF,SNRPB2_CBF,NOP58_CBF,CPSF6_CBF,FAM118B_CBF,COIL_NBF,PML_CBF,SFPQ_NBF
