Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
EMD_NBF,EMD_NBF,EMD_NBF,PARP1_CBF,SARNP_CBF,SARNP_CBF,EMD_NBF,PARP1_CBF,HNRNPM_CBF,EMD_NBF,CBX2_CBF,EMD_NBF,EMD_NBF,EMD_NBF,PARP1_CBF,SARNP_CBF,SARNP_CBF,EMD_NBF,PARP1_CBF,HNRNPM_CBF,EMD_NBF,AFDN_NBF,EMD_NBF,EMD_NBF,EMD_NBF,PARP1_CBF,SARNP_CBF,SARNP_CBF,EMD_NBF,PARP1_CBF,HNRNPM_CBF,EMD_NBF,AFDN_NBF
SYNE3_NBF,SYNE3_NBF,PARP1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,EMD_NBF,HNRNPL_NBF,SARNP_CBF,DCPS_CBF,SYNE3_NBF,SYNE3_NBF,PARP1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,EMD_NBF,HNRNPL_NBF,SARNP_CBF,BMI1_CBF,SYNE3_NBF,SYNE3_NBF,PARP1_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,EMD_NBF,HNRNPL_NBF,SARNP_CBF,CBX2_CBF
RPS20_NBF,RPS20_NBF,SRSF1_NBF,TERF2IP_CBF,EMD_NBF,SYNE3_NBF,FLI1_CBF,FLI1_CBF,EMD_NBF,SYNE3_NBF,EMD_NBF,RPS20_NBF,RPS20_NBF,SRSF1_NBF,TERF2IP_CBF,EMD_NBF,SYNE3_NBF,FLI1_CBF,FLI1_CBF,EMD_NBF,SYNE3_NBF,CBX2_CBF,RPS20_NBF,RPS20_NBF,SRSF1_NBF,TERF2IP_CBF,EMD_NBF,SYNE3_NBF,FLI1_CBF,FLI1_CBF,EMD_NBF,FLI1_CBF,CDKN2AIP_CBF
FLI1_CBF,FLI1_CBF,SARNP_CBF,RPS20_NBF,SYNE3_NBF,PARP1_CBF,PARP1_CBF,SYNE3_NBF,MAK16_CBF,FLI1_CBF,EWSR1_NBF,FLI1_CBF,FLI1_CBF,SARNP_CBF,RPS20_NBF,SYNE3_NBF,PARP1_CBF,PARP1_CBF,SYNE3_NBF,MAK16_CBF,PARP1_CBF,COIL_NBF,FLI1_CBF,FLI1_CBF,SARNP_CBF,RPS20_NBF,SYNE3_NBF,PARP1_CBF,PARP1_CBF,SYNE3_NBF,MAK16_CBF,SRSF4_CBF,COIL_NBF
TERF2IP_CBF,PARP1_CBF,FLI1_CBF,SYNE3_NBF,PARP1_CBF,RPS20_NBF,SARNP_CBF,HNRNPA1_CBF,SNRPN_CBF,PARP1_CBF,FLI1_CBF,TERF2IP_CBF,PARP1_CBF,FLI1_CBF,SYNE3_NBF,PARP1_CBF,RPS20_NBF,SARNP_CBF,HNRNPA1_CBF,SNRPN_CBF,FLI1_CBF,CPSF6_NBF,TERF2IP_CBF,PARP1_CBF,FLI1_CBF,SYNE3_NBF,PARP1_CBF,RPS20_NBF,SARNP_CBF,HNRNPA1_CBF,SNRPN_CBF,SRSF1_CBF,CPSF1_NBF
PARP1_CBF,TERF2IP_CBF,SS18L1_CBF,NOP56_CBF,RPS20_NBF,TERF2IP_CBF,RPS20_NBF,SRSF4_CBF,PARP1_CBF,SS18L1_CBF,FUBP3_NBF,PARP1_CBF,TERF2IP_CBF,SS18L1_CBF,NOP56_CBF,RPS20_NBF,TERF2IP_CBF,RPS20_NBF,SRSF4_CBF,PARP1_CBF,POLR1G_CBF,DCPS_CBF,PARP1_CBF,TERF2IP_CBF,SS18L1_CBF,NOP56_CBF,RPS20_NBF,TERF2IP_CBF,RPS20_NBF,SRSF4_CBF,PARP1_CBF,PARP1_CBF,CPSF6_CBF
NOP56_CBF,NOP56_CBF,SRSF1_CBF,SARNP_CBF,TERF2IP_CBF,EMD_NBF,NOP56_CBF,MAK16_CBF,SYNE3_NBF,POLR1G_CBF,FUS_NBF,NOP56_CBF,NOP56_CBF,SRSF1_CBF,SARNP_CBF,TERF2IP_CBF,EMD_NBF,NOP56_CBF,MAK16_CBF,SYNE3_NBF,SRSF5_CBF,DDX23_NBF,NOP56_CBF,NOP56_CBF,SRSF1_CBF,SARNP_CBF,TERF2IP_CBF,EMD_NBF,NOP56_CBF,MAK16_CBF,SYNE3_NBF,SRSF5_CBF,CPSF6_NBF
SURF6_CBF,HNRNPA1_CBF,SYNE3_NBF,EMD_NBF,DCPS_CBF,DCPS_CBF,POLR1G_CBF,LMNA_NBF,NOP56_CBF,FUBP3_NBF,GNL2_CBF,SURF6_CBF,HNRNPA1_CBF,SYNE3_NBF,EMD_NBF,DCPS_CBF,DCPS_CBF,POLR1G_CBF,LMNA_NBF,NOP56_CBF,SRSF4_CBF,EIF4A3_CBF,SURF6_CBF,HNRNPA1_CBF,SYNE3_NBF,EMD_NBF,DCPS_CBF,DCPS_CBF,POLR1G_CBF,LMNA_NBF,NOP56_CBF,SYNE3_NBF,DAXX_CBF
SRSF4_CBF,EWSR1_CBF,SS18L1_NBF,CBX2_CBF,NOP56_CBF,NOP56_CBF,TERF2IP_CBF,NOP56_CBF,RPS20_NBF,SRSF1_CBF,HNRNPM_CBF,SRSF4_CBF,EWSR1_CBF,SS18L1_NBF,CBX2_CBF,NOP56_CBF,NOP56_CBF,TERF2IP_CBF,NOP56_CBF,RPS20_NBF,SRSF1_CBF,EMD_NBF,SRSF4_CBF,EWSR1_CBF,SS18L1_NBF,CBX2_CBF,NOP56_CBF,NOP56_CBF,TERF2IP_CBF,NOP56_CBF,RPS20_NBF,SS18L1_CBF,DAZAP1_CBF
HNRNPA1_CBF,HNRNPL_NBF,NOP56_CBF,POLR1G_CBF,SS18L1_CBF,SUMO1_NBF,DCPS_CBF,RPS20_NBF,SRSF4_CBF,RPS6_NBF,KHDRBS2_CBF,HNRNPA1_CBF,HNRNPL_NBF,NOP56_CBF,POLR1G_CBF,SS18L1_CBF,SUMO1_NBF,DCPS_CBF,RPS20_NBF,SRSF4_CBF,NOP56_CBF,ESRP1_CBF,HNRNPA1_CBF,HNRNPL_NBF,NOP56_CBF,POLR1G_CBF,SS18L1_CBF,SUMO1_NBF,DCPS_CBF,RPS20_NBF,SRSF4_CBF,POLR1G_CBF,DCPS_CBF
